Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,604287,1253,1005,1580,4643,981,514,0,0,18536,26244,988,37,2345,3616,243,351,2453,4346,64,2195,522,5007,701,10358,1270,85,603,620,240,2922,726,4909,4868,0,2859,862,151,1991,320,139,1848,0,9812,9001,184,65,4390,1023,361,590,294
Alaska,1151,98512,2320,386,3985,1771,164,0,0,956,1639,1119,168,559,196,0,555,267,325,338,938,359,1061,172,99,843,897,185,210,0,113,307,569,386,191,303,319,1740,550,216,0,860,68,1484,3460,372,0,1028,3368,0,586,0
Arizona,1678,1994,929396,1432,65684,10555,1026,371,613,5693,4160,2966,1910,11447,5633,2570,3357,754,1178,1053,2248,5328,12012,7949,436,6354,1063,1388,10394,529,4214,10332,5843,3803,985,6477,2830,7151,3616,145,168,1490,752,2585,13890,7662,227,3766,9194,759,4049,1219
Arkansas,2065,410,930,425248,7139,1148,508,0,72,2923,1023,149,183,2333,1176,249,2085,858,5563,0,855,382,1771,1336,2948,6958,0,555,2131,1320,332,1187,1206,1057,59,979,5991,250,339,553,0,1022,113,5108,18459,1343,0,406,1908,222,1599,498
California,2527,5508,33629,4098,4819935,23652,6930,324,1853,28552,13499,15352,5052,24219,7152,2962,2793,3871,6176,1374,8522,12018,15046,9692,4442,9661,2584,2700,29730,1190,9919,5536,25255,12337,242,10141,4443,17046,11695,599,1612,3275,672,8140,36391,12377,250,14966,24449,265,5551,1388
Colorado,1958,1905,10752,2261,29278,709160,3270,212,565,8594,3934,1885,1142,5902,2821,1309,5977,1558,3012,1177,3452,4013,2417,2965,181,6505,1398,4892,4858,391,2136,4450,4380,2612,1025,5159,3974,5550,2036,0,1295,576,793,2415,23618,4529,426,4864,3639,369,3007,2446
Connecticut,205,244,701,219,4376,1156,334089,148,439,7760,652,235,265,1897,953,508,0,405,236,995,2139,8705,722,313,0,74,0,404,636,2045,4884,0,23272,2297,65,654,71,60,2346,1957,1927,371,13,602,2311,563,680,1101,761,46,207,0
Delaware,185,60,324,0,214,484,539,82986,170,1314,304,0,0,107,502,60,237,36,288,0,5631,1274,903,117,406,0,0,0,789,84,6461,167,3848,1038,0,280,210,0,10526,306,262,480,0,99,1683,0,16,1123,21,100,0,50
District of Columbia ,453,0,296,574,4178,489,1438,471,58181,2307,501,252,47,1239,124,111,0,202,96,53,14647,1659,419,0,0,355,119,102,53,108,778,107,3751,534,0,1232,0,400,1406,0,415,103,53,124,968,0,172,6365,586,163,204,0
Florida,13391,6221,3872,1883,20661,10966,13719,1158,1321,2388961,31752,2678,1122,18065,13047,1425,1402,9255,5901,4872,13441,24301,22360,5005,6103,4774,481,950,2141,2757,23909,835,63312,15249,753,23340,3528,2119,25668,18832,3530,8460,682,10052,24855,1645,1139,21684,7426,2778,6744,795
