Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Georgia,17724,2063,4385,2285,21454,3194,3380,1323,1924,77098,1320657,2198,335,8465,3902,1599,986,4276,10574,306,5543,3986,8520,1605,3829,3003,373,289,917,909,8683,1365,24235,15027,0,6873,2431,1991,9614,2471,297,14735,249,13358,18656,2986,660,12095,1735,1861,2300,420
Hawaii,1223,588,2125,5,11560,698,150,0,352,3314,1462,132576,60,1142,275,0,638,606,0,129,952,1403,1101,716,41,181,445,42,1347,298,132,244,1843,1500,0,974,388,3110,328,206,453,793,55,526,3372,774,267,2446,3327,25,563,0
Idaho,67,693,4701,0,10146,2707,0,0,0,2166,365,677,209961,1167,408,321,484,357,0,118,234,133,389,1643,10,398,1847,343,3732,153,123,1915,349,596,319,695,468,5235,298,0,153,12,149,573,1708,6361,0,299,11271,238,627,1578
Illinois,2554,938,5847,4378,14173,4045,1298,383,1379,14542,9116,1103,394,1515719,19022,9777,2169,3715,2293,212,2098,3112,13655,5123,2391,15832,349,1208,2271,1079,3104,765,9481,6005,450,6161,2272,692,6578,957,1390,1055,1106,5814,11382,1037,62,6134,3362,496,20647,65
Indiana,1317,148,3301,567,7380,2372,578,406,449,9632,1371,461,174,33792,859613,1275,1459,12866,791,379,1920,251,9897,1675,943,3500,199,734,898,78,1558,954,3507,2632,97,13253,415,673,3470,572,502,1344,96,4739,5636,519,0,3720,2075,726,4356,818
Iowa,511,507,2699,707,4489,1737,0,132,303,2495,1916,569,118,14042,2820,389724,2021,733,378,0,932,538,2226,6440,965,4989,344,7420,1080,81,0,336,822,1030,536,1460,637,1001,944,0,0,118,1987,585,3744,8,136,751,966,528,5704,191
Kansas,971,418,1914,2595,5735,3885,97,0,87,2609,1029,193,81,3103,796,3171,398090,2276,555,0,554,781,612,823,259,19059,153,4137,1644,0,36,1257,704,925,186,1286,7241,426,550,168,98,487,364,1831,8075,526,113,1889,1454,118,399,888
Kentucky,1471,472,1047,970,5596,1387,1758,369,315,10288,5627,2083,141,4093,14775,776,663,540079,699,267,992,441,4803,728,873,3279,0,794,975,211,820,1070,2236,3986,238,18080,2343,373,1310,136,0,1659,0,10935,6418,76,415,2162,197,2618,2634,0
Louisiana,4810,282,529,4693,8747,1631,205,117,130,7848,8264,408,206,2630,1582,122,1483,1355,529818,106,1224,1394,1297,973,11981,1886,284,309,1125,0,384,40,1378,1376,219,1521,1655,882,1416,137,0,1524,390,3347,40743,597,0,3641,1465,165,1320,0
Maine,228,757,858,0,3162,718,1118,122,35,1833,790,319,166,381,689,0,38,0,373,145094,276,5081,339,266,0,54,302,426,299,4547,901,62,1913,724,0,771,0,70,348,0,924,496,0,59,359,246,623,1863,852,432,577,0
Maryland,1744,149,2225,80,6349,1352,846,6530,21319,11077,4737,1558,86,3216,1417,319,330,1195,1163,706,581967,3795,2250,1169,992,1668,49,322,368,216,5660,178,7642,6360,201,3104,702,461,14666,1177,309,1569,115,1280,5508,1126,177,19075,1721,3119,358,139
Massachusetts,268,1523,1527,267,9526,2044,10978,269,972,11006,2198,1820,0,2523,1317,424,323,264,370,4322,4508,673227,1044,722,897,780,0,117,426,11008,7093,512,19851,2145,0,2619,0,284,7043,4809,9221,709,505,403,3497,697,2126,2733,1877,431,595,0
Michigan,2751,2223,3351,1077,8272,3455,2647,160,38,12374,5897,392,113,10230,7387,849,1042,1551,1543,0,2137,2240,1257187,3244,585,2880,183,549,902,550,1969,1053,4910,2608,745,14601,831,305,2493,136,323,891,222,3463,5100,764,499,4266,2214,959,3900,605
Minnesota,477,965,2915,1374,5824,3960,238,38,102,5349,3716,80,275,7248,1880,4987,961,3363,127,203,885,1377,3186,607207,2020,3014,1209,1774,352,0,537,169,1908,807,6433,1189,852,1257,1451,373,127,445,3170,959,4817,573,168,995,1487,84,17260,534
Mississippi,10295,0,1093,2954,2659,1279,232,0,1008,5253,4005,120,160,2925,1567,50,864,832,7752,113,914,380,2606,1355,380163,1773,0,0,699,161,223,303,1855,2531,0,713,327,483,543,106,0,1401,96,12882,7483,0,55,864,199,441,324,70
Missouri,1790,941,3627,8252,14205,4320,1178,62,636,8135,3421,617,193,21200,2537,5555,21441,455,1695,416,991,576,2957,2735,2038,796298,228,3027,1148,0,1679,1574,4282,2351,326,3606,5431,583,2348,68,307,1338,390,4372,11669,1468,214,4748,2743,407,1147,593
Montana,266,1624,806,387,5484,1916,127,0,19,211,818,110,2320,354,319,210,196,497,301,0,207,9,388,779,191,864,123021,187,1038,137,579,249,618,273,1904,456,334,1249,396,0,130,74,300,834,1409,914,0,0,3543,0,412,2418
Nebraska,313,191,3045,681,4105,3277,387,0,0,971,403,579,653,716,884,7666,4416,39,450,0,372,75,934,1647,648,3315,486,246324,880,140,0,230,662,343,109,924,1735,637,131,101,337,127,2487,422,2391,275,52,217,1010,59,1250,1196
Nevada,1234,480,6981,418,53489,3871,378,282,132,3356,1114,1584,1920,4268,629,1880,290,388,233,312,1333,691,6035,1099,818,1369,392,595,373819,326,1028,2338,4136,653,247,2050,865,3119,1561,263,155,251,107,344,6609,2881,0,735,4275,0,873,462
New Hampshire,203,0,451,229,1500,243,3754,64,296,2817,1001,295,20,1556,0,286,83,96,0,4786,279,17754,576,0,30,274,19,0,505,133140,903,0,1882,308,0,994,0,249,1194,43,747,316,21,167,825,301,3772,1527,560,0,295,0
New Jersey,824,175,426,215,5407,917,2973,1494,101,12129,2647,233,47,1630,1396,53,669,604,628,606,4879,4948,1934,509,102,382,0,88,643,1199,735358,355,52294,4287,242,1850,308,156,23391,2179,795,695,210,1581,1976,248,649,5286,2491,0,1053,0
New Mexico,413,235,11013,159,9323,5273,0,39,118,2661,476,341,834,1231,609,257,76,506,102,476,607,701,478,913,608,1320,21,317,2411,155,656,233348,808,985,297,1148,540,1264,1372,182,49,621,85,485,13788,1272,0,1393,1860,57,859,28
New York,1265,3340,3033,618,21844,3837,11674,706,5277,34951,8570,1170,936,8569,2350,446,964,1668,1441,2366,8332,16390,4188,1570,404,2549,376,1671,1607,2635,32988,1363,1839382,12468,0,6321,654,2423,22598,5580,2063,2735,196,1979,7824,823,5617,9609,3231,703,2209,72
North Carolina,3817,961,3613,2316,15680,3198,4336,2771,3833,44954,17856,2961,480,5387,4970,569,3145,2975,3107,1699,14508,5669,10995,2017,1960,2756,813,581,820,2185,13319,643,30206,1190755,503,13059,1065,1970,14055,1224,2281,25411,0,8753,12478,1427,2079,33089,3250,4470,1901,92
North Dakota,0,31,382,62,1340,1367,0,0,0,908,229,41,77,515,148,166,254,0,0,0,16,44,145,8059,44,347,1119,423,457,0,268,164,202,0,80596,73,0,151,26,0,0,0,2217,82,1452,300,0,442,402,0,286,160
Ohio,1544,1100,3007,435,12056,2448,784,310,599,16019,6119,199,182,9866,12761,1679,1221,13237,762,353,3618,2392,15671,1810,951,3468,110,1545,1363,958,3080,754,6577,6441,647,1517079,823,2302,14516,1747,0,3117,73,5393,9074,610,714,5506,1410,7241,2415,637
Oklahoma,744,1496,4193,7690,15936,5671,0,0,48,3485,3084,599,68,2896,2249,159,7584,178,1207,107,1329,569,544,768,935,7386,889,968,1280,0,423,3509,1791,1652,159,2698,575954,414,1568,106,0,818,365,1399,27538,992,375,1877,2285,260,772,211
Oregon,889,3029,7024,425,35942,3479,309,55,269,1623,1167,2040,7495,1065,1068,356,1810,159,302,337,458,1823,2157,1320,232,751,1610,284,3658,161,460,1800,1813,1344,0,1140,1040,553295,1912,0,73,77,146,1931,2696,2135,282,3051,23144,0,317,850
Pennsylvania,861,1063,4251,2428,11173,1288,4962,7970,653,13564,6493,870,48,5432,3907,817,767,2998,1869,1450,21147,7057,3820,2431,431,1174,401,1909,2016,1766,39867,475,47476,7891,251,12037,891,849,1265210,5988,936,2874,162,2332,7471,452,492,12913,2257,3918,1768,545
Puerto Rico,121,0,27,0,1459,82,2463,60,409,6187,971,0,89,686,0,0,0,118,68,0,417,3077,275,0,0,138,0,0,0,0,3249,0,5069,56,0,0,0,242,1358,270481,210,0,0,0,1655,0,0,171,205,0,274,0
Rhode Island,0,158,137,0,1243,0,2396,74,377,2703,306,246,0,167,134,81,0,214,253,235,428,9638,538,128,0,346,0,0,143,625,3008,176,4479,1758,0,560,0,55,1201,239,99928,638,78,251,51,78,428,490,300,32,0,0
South Carolina,2337,507,1090,741,7583,1486,2562,616,2229,18756,17307,1861,303,3988,1531,718,709,2462,1628,575,5577,3019,4280,534,2737,2323,234,285,1325,667,5132,379,9593,31367,66,4892,692,1713,3768,767,304,500277,717,5640,6999,300,73,8131,829,1869,917,232
South Dakota,135,86,1037,246,1529,641,0,0,53,1056,673,106,0,638,0,2515,457,60,650,0,60,113,278,2007,437,240,180,3855,724,0,90,1068,299,841,1832,407,90,118,112,336,67,200,97554,97,1233,267,0,180,910,0,732,1029
Tennessee,11797,557,2918,3667,11389,3176,797,543,637,26501,17655,596,599,7968,4229,87,1331,9942,4070,256,2315,1714,5810,668,9723,2368,222,330,246,418,2789,662,4798,9656,0,5439,1055,690,3168,259,362,3959,289,798777,8236,272,483,5630,2147,829,3658,112
Texas,8086,7239,16002,16860,78310,18577,3056,657,906,38595,17625,4691,987,19760,10187,6026,10339,6141,40272,1065,8905,5901,14056,10285,9219,15842,1808,3515,5716,2790,7239,16772,18967,11940,404,12032,27675,4097,9467,3807,1522,3791,2144,9729,3800840,5339,27,14537,10670,1044,8128,2789
Utah,877,1106,7588,0,22204,5066,266,83,69,5130,1542,1200,7925,1270,1048,799,1514,840,348,530,475,792,1123,887,1075,990,1618,929,6980,316,778,1209,1785,370,127,2155,152,1957,311,97,204,215,366,1455,5995,369588,209,1393,6777,670,1900,1195
Vermont,122,36,128,110,1558,518,1408,0,58,1353,418,23,86,525,0,0,0,30,66,680,310,3897,125,0,0,46,140,9,0,2267,749,229,4205,923,16,43,0,203,1349,0,92,81,0,0,251,0,63329,465,323,138,56,84
Virginia,4288,2684,3605,1658,17437,6681,3906,1252,9139,22575,10080,3864,1272,7206,2466,559,1714,2119,1616,842,29066,5698,5355,1882,888,2294,237,1215,1672,652,8564,1448,18574,24506,135,6101,1624,1715,16814,1889,754,6587,172,7613,12900,1551,553,915263,3736,5484,997,687
Washington,489,5941,7581,1017,43361,7413,1523,225,1028,8274,3867,4008,8806,3585,2206,2331,1582,532,1148,566,1831,1806,4125,1483,850,2457,4215,409,6809,592,1348,2292,3700,3925,345,1898,1636,28849,3548,128,1739,960,391,2213,8851,2924,391,4346,921085,123,3043,571
West Virginia,315,507,309,0,986,529,259,342,248,2374,1433,0,0,695,548,116,371,3533,325,36,7557,409,1572,75,0,1103,0,0,97,59,745,210,1604,2337,83,7706,293,93,3657,250,445,378,0,1303,1216,78,357,7378,445,178896,80,0
Wisconsin,302,158,2572,516,5063,1465,468,210,131,4703,1404,426,435,24130,1791,4036,921,576,790,141,967,715,7235,16489,611,1639,95,154,925,621,1115,468,2033,1770,349,1103,388,415,2570,959,9,291,140,2476,4645,681,42,2745,593,59,723651,793
Wyoming,29,47,2223,165,3185,3602,0,0,66,524,353,203,820,330,88,97,369,402,122,416,232,140,812,542,892,482,2296,1082,264,0,0,363,277,456,271,554,334,175,206,0,0,0,696,674,1409,2074,0,203,1402,0,150,74171
