Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,579815,982,1183,373,4447,1191,130,212,99,15799,20889,786,1072,3177,3946,458,457,1765,4174,710,2709,104,3964,621,7941,1069,456,0,567,99,664,404,2463,7152,39,3265,1316,125,1015,583,448,2445,0,7948,8718,382,0,5821,991,215,1026,258
Alaska,1390,107051,1285,209,3780,1460,313,86,47,2581,3114,374,743,271,643,246,49,155,1975,129,642,24,748,1753,91,782,1372,40,314,38,327,70,718,288,17,1292,407,1342,476,48,0,375,314,1229,2729,786,0,264,3620,0,1048,470
Arizona,392,2249,1055904,1818,46921,7836,1418,131,890,4931,6076,3943,2737,13111,4992,3219,2461,830,1741,806,1265,1764,10923,6161,388,3606,1149,3224,8666,1114,2094,8707,4775,3996,1039,4829,1594,5407,4344,467,282,914,1191,215,12278,7997,61,4521,11148,781,3795,1260
Arkansas,443,968,1365,416745,4837,2497,153,0,0,3264,1090,396,499,3758,1032,292,2776,1684,4905,424,654,224,1905,1130,3059,7652,0,198,2079,165,315,574,1803,1245,0,1128,7538,798,236,304,0,796,155,7667,14036,499,0,191,520,29,459,115
California,2889,5332,34040,3539,5238440,16798,4906,453,1951,18769,10819,13042,7446,16415,6411,3576,4782,1996,3171,1216,11905,10171,10741,7126,2516,8651,2102,2400,32333,1817,6142,7057,26083,10802,741,7657,2766,21270,8111,1479,1264,5219,917,7010,35104,13401,1046,14464,33408,835,6958,1114
Colorado,1774,1215,9378,2463,21223,721050,1344,253,1057,7085,4499,1818,1446,5686,5621,2852,3934,494,1204,639,1949,2544,5684,4494,946,4087,1283,4118,5320,577,1540,8038,3996,4565,227,2316,4206,2646,2613,213,449,1919,1010,1755,19214,5259,324,4172,4325,468,2982,5630
Connecticut,1963,504,629,14,5041,1815,308232,409,239,6286,2216,369,0,1514,583,0,766,470,114,234,2796,8136,621,14,261,192,75,0,153,2932,2415,120,19313,1426,0,1458,125,161,2799,5205,2123,857,0,509,1312,425,1032,2478,1163,0,74,205
Delaware,365,143,494,0,575,178,809,87909,82,921,800,0,0,724,62,0,48,0,90,72,4573,1812,262,0,0,0,0,60,0,273,3851,54,3351,317,0,859,0,55,9068,206,43,444,59,234,429,496,0,3215,14,47,0,0
District of Columbia ,203,240,32,106,2980,505,288,571,47156,2275,900,145,0,1370,0,33,95,114,0,390,9960,1084,259,194,0,102,66,57,147,72,1232,0,3647,1276,0,373,57,285,1705,147,68,345,58,89,819,76,161,5586,190,207,344,54
Florida,9179,5863,6104,2211,22213,10293,10045,2957,1544,2454080,33835,1466,577,18482,14608,2009,3021,6699,4864,4735,6800,12919,19440,5025,4695,6812,828,1250,3381,5891,15674,1676,53482,25128,574,21346,2441,2869,21680,14783,3471,9760,913,11927,19680,2510,1322,19597,8343,4312,6214,423
