Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,593683,392,1304,1811,5984,1158,213,392,245,19258,21146,352,53,4666,3178,893,381,3267,10034,304,739,397,4128,333,11325,2271,0,66,181,101,1035,311,3732,3926,326,4535,1757,113,1277,301,0,1679,53,8241,8457,1387,351,2316,1529,154,1501,519
Alaska,751,102086,1190,503,3353,968,498,0,0,940,1602,1190,662,349,447,377,293,241,332,119,117,740,346,1216,396,476,729,1087,1344,62,153,14,809,966,0,556,241,2577,454,0,206,61,0,71,2362,1483,0,1325,4850,37,845,334
Arizona,1805,3715,935748,1163,85497,7030,1392,589,352,7667,3084,2840,4668,9344,3537,5035,1714,2744,2609,1430,2763,1824,10422,6189,1068,1583,2609,1991,10495,1536,3467,8583,7128,3490,891,7860,2754,7224,5623,601,858,1804,2530,1776,17130,7727,316,3580,11774,52,4367,1442
Arkansas,2678,751,4212,416998,9141,1766,50,88,324,3666,1587,853,392,2814,866,889,2030,1755,8216,0,341,891,1961,1838,2767,10798,130,554,540,51,1643,1551,1546,1496,138,1706,8457,486,635,206,0,974,0,6862,15022,525,153,1157,1107,739,471,84
California,4133,6376,31915,3709,5173950,15885,5596,1339,2044,27196,13384,14421,6486,25149,6972,2380,5018,1709,10561,2288,10140,13846,10693,5647,4660,5847,1874,2504,28855,1323,8843,4829,31703,10901,1934,13165,8025,25374,11747,2303,1664,3426,367,6469,49027,9726,1658,14710,34105,530,10213,1739
Colorado,1285,1821,13714,893,34803,722843,675,345,378,10327,3039,2351,1328,6728,1433,2447,4667,209,2246,718,2275,3951,3531,3785,1369,2856,1517,5722,2815,405,1650,5922,3920,4152,590,4921,3708,4133,3490,0,508,531,1139,1057,16928,4678,494,4371,5839,155,2303,6646
Connecticut,496,0,262,0,2727,660,366706,160,284,6999,1299,320,0,1607,236,113,301,199,269,1030,1363,11956,932,353,0,485,49,487,55,945,5064,147,24838,2542,0,1941,101,440,2425,2448,3963,1688,41,362,3882,654,1108,2458,593,76,160,0
Delaware,0,0,55,204,325,160,589,86261,23,1613,979,0,0,571,391,136,0,99,136,283,7065,301,211,0,375,239,0,28,53,87,5245,0,1523,614,0,291,0,54,7588,0,413,135,0,176,292,70,0,893,207,203,0,0
District of Columbia ,0,288,225,174,2672,135,1033,2474,58569,892,921,123,130,1796,627,117,359,536,274,113,10842,755,719,68,440,276,27,0,49,265,784,181,4831,1730,0,1169,154,154,2918,100,189,502,0,50,2015,201,0,6737,464,205,266,0
Florida,13015,4995,6030,3232,27658,9275,13989,1685,1340,2485338,34679,4274,1358,26188,13454,2818,2274,8999,15995,5652,14340,27188,30983,3950,13291,8085,713,1390,4163,3284,36055,2131,87576,23862,402,21113,1783,2323,21007,20687,2071,9728,422,12387,30708,2250,2404,19783,5452,3592,9286,389
Georgia,14873,2232,5024,2851,24662,3450,5580,2081,1860,75182,1359227,1120,457,13676,6948,2568,1862,4506,19472,1269,6731,5068,5167,2945,5336,5232,1159,1547,2120,845,9684,337,26759,17226,295,8254,3337,1198,8690,1480,778,16774,634,14737,16121,711,542,12772,3886,3206,4028,380
Hawaii,332,2906,1718,0,14459,2254,627,0,262,2456,2250,122884,0,1996,351,148,496,705,238,443,459,506,193,529,251,284,461,46,1383,500,745,989,2654,1785,0,674,744,1487,1956,0,425,560,201,666,4405,288,0,3423,3212,0,257,101
Idaho,170,995,3178,225,13537,3428,58,0,226,1428,111,786,227023,607,86,2416,582,382,93,83,177,0,488,875,483,807,3386,162,3058,471,0,203,273,273,247,1356,337,7136,585,0,6,39,837,491,5042,5921,0,952,12195,70,319,1047
Illinois,1286,1742,5924,2309,15322,5901,2771,460,1596,17271,3854,1609,2069,1662179,20749,7544,3225,4288,2956,308,2936,2317,14740,5186,2390,17787,265,1624,2075,297,3058,865,7523,4031,324,7612,1104,1709,4369,3157,423,2620,372,5164,14431,723,546,6401,5358,637,16802,37
Indiana,1551,130,2434,1201,7374,1277,967,180,0,10469,4010,559,363,34027,884452,1679,881,11572,2506,0,1417,955,14603,997,1365,3904,417,985,716,145,921,420,3166,4265,139,12861,749,671,2764,56,0,1420,255,3725,10493,2951,62,2400,2066,699,4237,62
Iowa,740,109,1702,675,6764,1893,248,153,65,2483,503,65,328,12255,2862,412459,3075,151,1299,179,675,129,2595,7368,832,6410,95,8648,1013,47,106,563,686,838,390,1869,1040,1557,560,59,0,327,2330,806,4997,841,0,1289,676,133,3953,502
Kansas,938,412,1695,2495,8150,6752,190,779,96,2290,3130,237,43,2374,994,2515,401500,1289,1425,190,462,402,741,1136,676,27468,570,3533,869,59,1174,1940,3103,1933,39,2141,6631,508,621,112,0,1296,837,2291,8762,1272,22,1594,805,181,493,374
Kentucky,3863,187,1049,1076,5461,1917,265,38,174,10918,5249,859,265,5748,12264,1386,578,575640,982,512,3187,772,4360,610,653,3628,93,321,940,57,463,130,2574,3836,0,15158,1163,120,1479,145,100,915,97,13581,6361,464,128,4204,868,2415,708,78
Louisiana,2581,152,235,2486,5286,1108,1047,466,531,4853,4444,930,313,1473,889,1400,174,1219,702219,64,2264,237,2081,477,11108,2287,268,281,735,62,203,563,1921,1586,0,1513,1455,612,1096,385,78,1819,46,1416,30477,452,0,1538,546,72,510,587
Maine,80,220,164,38,1123,403,3181,0,0,4621,0,115,0,50,351,0,56,51,314,150926,391,7107,996,168,152,0,0,0,0,4271,1069,126,2829,667,30,1720,14,170,1188,87,612,239,41,481,1647,35,522,1962,75,95,172,124
Maryland,1486,183,1504,116,10194,1913,3683,4622,22286,7965,3797,1627,222,2655,1206,283,189,1167,3975,477,621491,3214,3159,574,1417,1707,179,114,1605,1395,8935,366,15819,7270,48,4245,305,829,14470,189,1092,4113,0,808,10054,1554,643,22977,937,2719,621,0
Massachusetts,364,1531,1404,443,11605,2711,13185,104,1030,9685,2160,316,186,4220,1680,501,125,420,1564,4438,2574,719437,2065,1544,52,1306,164,337,812,9209,7841,576,19563,2883,131,2395,665,737,5515,4214,8885,1371,54,1636,3393,253,2091,3533,1990,345,1545,105
Michigan,2181,1363,2602,1313,9623,2812,733,96,152,13738,3718,499,508,12623,7867,1537,2133,2992,1784,510,606,2243,1272755,2068,1719,2101,286,1108,2834,227,2006,388,4739,3518,261,12493,1092,1009,3792,0,223,2090,122,4260,9667,724,624,3526,1983,128,3723,424
Minnesota,249,1241,3315,166,9997,2698,1119,37,87,3979,1428,515,220,9964,2606,5317,1226,318,2087,61,774,1419,2043,611078,224,3327,1208,1414,2132,66,569,668,2496,1245,7567,2455,525,538,1451,939,463,667,3245,1011,6863,923,271,1468,2352,80,16941,302
Mississippi,5924,77,659,2508,2747,616,149,13,149,4217,3082,178,0,3095,1829,308,351,127,19184,68,767,13,2142,105,409898,2162,0,0,569,0,668,188,2131,2678,0,744,1307,382,748,251,200,1486,60,10789,5059,282,0,1844,816,167,1620,0
Missouri,2106,1389,3053,8100,12491,3930,276,0,486,8422,3928,1096,557,19044,1699,6819,18617,1483,4589,75,1016,1043,3649,2607,3208,846807,361,3204,1769,295,1639,1335,3366,2916,230,3830,5980,1292,1481,394,0,1928,381,4381,10717,1749,54,1518,1706,109,2473,237
Montana,588,281,1867,0,3460,1445,309,400,87,1846,292,858,1139,734,270,315,0,119,203,0,179,198,354,1138,0,505,126227,296,563,0,500,596,823,249,1374,886,20,1227,495,0,0,34,1557,18,902,652,168,583,5901,70,815,2366
Nebraska,124,514,1238,365,5170,5254,0,51,178,2184,902,224,1013,1234,732,6444,4212,477,547,22,349,8,601,3141,574,1655,389,259681,265,0,44,322,767,412,746,582,844,911,101,172,95,100,3795,1160,2468,645,0,897,439,377,621,1160
Nevada,260,1669,6618,668,59811,7096,946,183,160,4759,1749,3865,2590,3669,2085,1195,758,523,1628,70,1297,1120,4130,713,788,1651,327,473,390069,82,2384,2867,3564,1410,179,3267,457,1496,1158,0,118,963,71,269,4990,7182,263,1694,5361,0,1418,822
New Hampshire,76,488,779,164,1907,254,2576,0,95,4294,272,60,0,313,146,0,71,0,689,2137,193,15609,132,194,427,580,222,0,63,133427,558,40,3016,505,0,152,0,0,874,728,867,158,563,120,871,29,1783,616,1276,0,0,335
New Jersey,658,379,2138,208,7910,893,2871,2330,1141,9728,3596,480,643,2640,790,876,279,488,1044,331,4029,7050,633,728,348,575,0,411,881,788,798283,413,54781,2462,99,864,767,110,23970,4766,1135,1535,87,982,4490,159,504,4065,763,183,678,175
New Mexico,1207,1066,8173,393,8210,4782,166,113,369,3731,1357,868,278,2303,359,34,1070,763,870,180,423,883,729,999,441,237,81,1079,2229,149,834,251575,1371,547,1541,385,1570,1211,1269,366,0,340,417,159,13150,1860,342,964,1763,142,294,342
New York,812,2513,3761,331,23126,2373,16439,1726,3942,30809,7254,1240,97,7110,1618,396,1188,792,2555,3028,9274,17797,3209,1940,943,1838,344,456,2279,3244,37102,1126,1905564,6521,0,6624,1197,1528,22032,6439,1901,3389,304,1838,10292,803,4528,14517,1752,656,1500,198
North Carolina,2497,997,3920,1648,17613,3074,5006,443,3076,41059,16200,2807,1627,6496,4367,762,665,1456,5627,1176,16726,4638,6529,1467,2664,3002,49,564,1821,1181,14757,1732,40690,1182774,862,11878,1906,2135,15361,993,1219,24793,222,6836,14325,1795,929,33832,2952,5050,3489,592
North Dakota,77,147,833,50,1460,1285,54,0,0,516,265,107,348,236,0,241,14,175,96,0,68,71,807,9169,552,308,1735,407,147,0,0,221,410,35,81901,271,702,279,651,0,0,52,1517,589,737,0,0,386,605,0,339,298
Ohio,1834,745,4530,1260,11098,2065,984,2142,662,22706,6776,106,1041,8776,10220,1008,578,14157,3807,197,5018,4858,15669,1490,704,2233,171,747,1691,491,4436,161,8525,9822,707,1576517,1179,635,11979,2486,489,3083,0,5847,6331,2270,84,3831,1420,6837,1184,115
Oklahoma,513,1304,4549,7936,8947,2656,279,11,0,3664,1547,810,183,2278,933,2196,8931,924,3122,0,2272,479,1264,1288,1524,6099,657,2162,1402,127,517,2560,2165,625,334,1504,565972,716,1016,315,0,178,365,1492,28327,670,0,1679,2193,220,440,546
Oregon,42,1422,8078,420,51295,4424,268,0,744,3916,2079,3269,4196,1399,541,269,449,502,1697,131,863,710,1960,2533,58,1170,1776,1201,4320,459,201,1633,2555,1225,0,2565,1373,589004,1601,152,73,295,116,927,4580,3998,380,798,24230,577,1615,753
Pennsylvania,1410,1501,2405,1153,10789,1582,3708,5940,1845,18837,4258,242,174,3360,3602,774,491,1236,1212,1413,22968,6816,4247,976,1196,1356,260,448,569,852,42717,836,43294,5446,66,14106,942,449,1306488,6526,1065,2479,308,2598,6461,583,913,11032,2863,2470,1524,0
Puerto Rico,0,0,38,0,1210,0,2652,0,50,5848,310,0,0,875,409,79,161,0,252,0,485,1274,349,0,0,77,0,0,0,79,2284,53,8181,55,0,494,0,55,3389,274764,86,0,0,102,362,95,0,489,0,0,714,0
Rhode Island,98,106,844,0,1824,114,2976,81,82,1240,364,263,0,277,346,75,225,0,327,174,1006,8991,153,71,44,0,0,0,82,1851,2093,0,5256,349,0,379,0,66,893,933,107653,236,0,44,383,118,245,575,208,0,123,0
South Carolina,4779,1317,2265,229,4096,868,2429,361,921,17342,17998,1729,464,4100,2961,601,497,1825,2417,807,5677,1592,3440,1566,1666,1741,121,348,1443,1166,6862,215,9451,22604,74,3446,1538,201,4437,216,1458,543772,129,6454,6219,387,0,8560,1282,1142,1690,193
South Dakota,0,116,923,190,1536,2196,25,0,0,243,245,338,60,647,492,2760,116,278,448,0,2,0,710,2869,0,297,746,4122,146,0,200,384,237,14,2056,492,427,963,187,0,0,68,101107,56,1293,229,0,17,785,0,224,544
Tennessee,7438,445,3087,3598,10721,1951,582,60,388,28514,13868,234,673,5337,6046,1154,1401,11921,7087,729,2050,1614,4079,524,11443,5073,379,709,1336,292,1403,420,2816,9779,0,7782,939,988,3557,212,166,2853,86,801770,12238,754,80,6028,1920,667,1310,133
Texas,8736,4910,18641,14725,81572,18848,2884,223,1009,39872,16629,8183,2055,24132,12553,3635,11043,5460,118552,355,7915,5868,9942,11371,12692,11501,1564,3558,5724,1308,12099,14989,20436,12326,551,14269,27363,3523,5615,2143,303,6777,2421,7222,3774590,3439,120,16676,10857,1428,4121,2700
Utah,723,605,7495,247,24994,3449,597,0,0,2811,766,1109,9037,1630,1164,112,107,1106,1226,409,413,765,1642,1028,185,1157,1242,404,5898,0,402,684,1720,703,208,1135,595,4270,1205,29,85,1454,159,1499,6646,417381,604,1784,4221,88,781,2446
Vermont,17,0,455,66,554,943,1709,0,398,2282,446,50,18,35,0,0,0,55,0,1577,1389,2751,224,65,225,17,88,0,0,2241,725,68,4988,185,0,284,124,245,545,0,324,68,0,155,629,58,63340,1527,252,0,248,51
