Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,,767.0,1865.0,2329.0,3397.0,1927.0,894.0,77.0,521.0,15755.0,27433.0,399.0,0.0,2400.0,1184.0,478.0,1277.0,1365.0,1566.0,97.0,1435.0,446.0,2540.0,193.0,7442.0,1174.0,120.0,339.0,539.0,166.0,193.0,773.0,2061.0,3974.0,1162.0,1513.0,725.0,593.0,2690.0,43.0,1968.0,103.0,7206.0,6469.0,362.0,173.0,4772.0,871.0,445.0,491.0,164.0
Alaska,279.0,,658.0,73.0,3062.0,1815.0,109.0,0.0,0.0,1473.0,1044.0,732.0,544.0,819.0,138.0,193.0,434.0,238.0,210.0,17.0,444.0,449.0,955.0,1173.0,0.0,905.0,461.0,233.0,2129.0,338.0,0.0,766.0,1028.0,2078.0,71.0,408.0,780.0,1389.0,263.0,0.0,873.0,312.0,133.0,2196.0,337.0,53.0,521.0,3988.0,0.0,161.0,414.0
Arizona,607.0,2519.0,,553.0,54646.0,11039.0,2417.0,927.0,330.0,7833.0,3671.0,2069.0,2835.0,11017.0,4087.0,3963.0,2625.0,3599.0,1801.0,780.0,2105.0,3030.0,9069.0,8499.0,544.0,4069.0,1798.0,986.0,7153.0,445.0,2782.0,8030.0,5564.0,5323.0,1150.0,5147.0,3906.0,7163.0,3910.0,298.0,842.0,1582.0,3253.0,13025.0,10165.0,406.0,3801.0,14183.0,0.0,5262.0,2473.0
Arkansas,956.0,205.0,1683.0,,5075.0,2429.0,0.0,79.0,196.0,2641.0,2407.0,45.0,214.0,2999.0,784.0,589.0,2036.0,497.0,3601.0,0.0,70.0,521.0,1922.0,114.0,3415.0,6367.0,1058.0,337.0,292.0,0.0,122.0,645.0,395.0,2006.0,143.0,777.0,7505.0,34.0,358.0,0.0,311.0,146.0,6033.0,17708.0,445.0,36.0,2355.0,313.0,143.0,1312.0,275.0
California,5273.0,6022.0,34204.0,2867.0,,21157.0,6205.0,1118.0,3908.0,25638.0,11630.0,10475.0,5840.0,26189.0,8650.0,1394.0,3943.0,3781.0,6324.0,1745.0,9981.0,12628.0,8852.0,4887.0,2539.0,6465.0,2017.0,3282.0,25332.0,1859.0,12890.0,5239.0,36896.0,12463.0,1035.0,12836.0,8350.0,20838.0,13595.0,2179.0,6301.0,610.0,8781.0,41713.0,8814.0,766.0,15009.0,33131.0,413.0,6741.0,1672.0
Colorado,2392.0,1653.0,10254.0,1527.0,29029.0,,2253.0,77.0,1132.0,12623.0,4644.0,4277.0,1692.0,11398.0,1982.0,2718.0,6294.0,1678.0,3007.0,185.0,2286.0,2378.0,3739.0,5443.0,881.0,6798.0,910.0,4201.0,3723.0,583.0,3227.0,6393.0,5748.0,3489.0,1388.0,3263.0,3072.0,4836.0,4870.0,43.0,2410.0,732.0,2314.0,25268.0,4064.0,1094.0,7686.0,7368.0,1232.0,5916.0,3275.0
Connecticut,163.0,68.0,187.0,0.0,4240.0,467.0,,344.0,379.0,6122.0,1268.0,429.0,51.0,1696.0,777.0,362.0,135.0,30.0,139.0,939.0,917.0,9498.0,467.0,548.0,84.0,638.0,0.0,0.0,127.0,1202.0,3688.0,725.0,23820.0,1394.0,95.0,1836.0,265.0,290.0,2348.0,3035.0,926.0,362.0,237.0,2519.0,95.0,262.0,2301.0,1236.0,63.0,223.0,0.0
Delaware,76.0,344.0,282.0,0.0,725.0,192.0,508.0,,279.0,883.0,327.0,0.0,0.0,632.0,207.0,124.0,154.0,75.0,0.0,376.0,6749.0,1161.0,162.0,81.0,26.0,82.0,0.0,0.0,0.0,47.0,4345.0,846.0,4759.0,1504.0,423.0,92.0,54.0,90.0,13965.0,0.0,659.0,0.0,82.0,1423.0,32.0,78.0,2112.0,420.0,119.0,0.0,0.0
District of Columbia ,359.0,235.0,367.0,203.0,4119.0,433.0,1292.0,252.0,,2731.0,1013.0,52.0,5.0,785.0,748.0,135.0,33.0,275.0,392.0,258.0,14726.0,2876.0,1308.0,545.0,338.0,141.0,0.0,674.0,68.0,47.0,1804.0,40.0,5133.0,1501.0,0.0,1027.0,150.0,157.0,1999.0,234.0,1806.0,9.0,873.0,1314.0,177.0,117.0,8028.0,134.0,478.0,514.0,0.0
Florida,15449.0,1553.0,7168.0,6850.0,21217.0,9206.0,14887.0,1685.0,1512.0,,38654.0,2978.0,846.0,26406.0,13396.0,3142.0,3648.0,10036.0,6560.0,5178.0,16449.0,16651.0,26138.0,5433.0,5415.0,10480.0,1150.0,1706.0,6008.0,5175.0,29390.0,3762.0,69289.0,24003.0,1363.0,27403.0,2710.0,1568.0,28826.0,2523.0,13949.0,1400.0,19864.0,29706.0,1932.0,1480.0,23377.0,3819.0,3479.0,9195.0,924.0
Georgia,16372.0,669.0,1713.0,1668.0,15675.0,4456.0,1995.0,205.0,652.0,47286.0,,995.0,230.0,9960.0,5212.0,908.0,2614.0,5313.0,3277.0,735.0,4328.0,2496.0,5744.0,3078.0,4395.0,4897.0,185.0,1010.0,2526.0,649.0,7403.0,1122.0,14853.0,16095.0,0.0,7840.0,1543.0,1528.0,6493.0,205.0,17395.0,0.0,18087.0,16078.0,1523.0,157.0,15852.0,2377.0,1300.0,3352.0,879.0
Hawaii,240.0,164.0,2701.0,194.0,10952.0,1618.0,781.0,0.0,159.0,2013.0,1231.0,,359.0,1936.0,471.0,308.0,917.0,1108.0,455.0,255.0,654.0,601.0,834.0,733.0,164.0,633.0,98.0,191.0,1193.0,80.0,524.0,115.0,2191.0,2486.0,0.0,539.0,1041.0,2244.0,981.0,429.0,1214.0,0.0,331.0,2031.0,1707.0,0.0,3402.0,3176.0,130.0,158.0,0.0
Idaho,564.0,1061.0,3152.0,1441.0,18928.0,3659.0,127.0,0.0,0.0,1864.0,1079.0,0.0,,857.0,147.0,120.0,1201.0,792.0,240.0,128.0,170.0,457.0,100.0,533.0,0.0,1864.0,1466.0,0.0,1891.0,119.0,27.0,391.0,1003.0,226.0,833.0,563.0,567.0,7295.0,217.0,0.0,196.0,152.0,419.0,2959.0,6625.0,343.0,689.0,6499.0,441.0,122.0,2282.0
Illinois,1853.0,350.0,6776.0,1452.0,18953.0,3998.0,1473.0,171.0,1050.0,11428.0,5581.0,1697.0,474.0,,14473.0,9969.0,1267.0,2654.0,2022.0,563.0,2549.0,3460.0,11936.0,4832.0,2503.0,15395.0,636.0,1791.0,2266.0,170.0,3259.0,757.0,6923.0,4458.0,418.0,10281.0,2549.0,1838.0,4810.0,438.0,1805.0,295.0,5566.0,11719.0,607.0,302.0,5804.0,3377.0,808.0,11785.0,287.0
Indiana,2130.0,0.0,2871.0,640.0,6407.0,2271.0,681.0,105.0,71.0,7523.0,3710.0,405.0,1176.0,34221.0,,514.0,1037.0,13386.0,968.0,698.0,811.0,1172.0,11465.0,1620.0,646.0,3176.0,970.0,874.0,2359.0,116.0,2120.0,802.0,3175.0,2802.0,887.0,12940.0,1244.0,100.0,2827.0,166.0,577.0,130.0,3491.0,5878.0,709.0,168.0,2886.0,1210.0,29.0,3193.0,172.0
Iowa,285.0,734.0,3069.0,1926.0,2899.0,2158.0,173.0,0.0,112.0,3498.0,1449.0,360.0,665.0,19702.0,1564.0,,1090.0,194.0,604.0,137.0,287.0,487.0,730.0,8401.0,433.0,4932.0,123.0,7216.0,659.0,269.0,698.0,403.0,295.0,852.0,287.0,2013.0,1391.0,605.0,154.0,95.0,875.0,1535.0,1747.0,4325.0,77.0,95.0,834.0,2086.0,45.0,3140.0,229.0
Kansas,717.0,201.0,2079.0,1504.0,6137.0,5327.0,436.0,340.0,125.0,3364.0,2002.0,457.0,76.0,2870.0,1470.0,2970.0,,1612.0,458.0,145.0,815.0,621.0,2205.0,729.0,20.0,21840.0,6.0,3138.0,460.0,189.0,759.0,1425.0,1665.0,1982.0,7.0,1085.0,4626.0,673.0,1412.0,0.0,683.0,95.0,1928.0,7577.0,1767.0,0.0,1053.0,1548.0,160.0,189.0,393.0
Kentucky,1463.0,237.0,772.0,516.0,4828.0,1510.0,371.0,391.0,211.0,7031.0,4830.0,373.0,0.0,4776.0,9982.0,750.0,1976.0,,280.0,477.0,2040.0,1197.0,2617.0,509.0,528.0,1731.0,0.0,894.0,404.0,22.0,273.0,463.0,3383.0,3622.0,49.0,14779.0,786.0,1143.0,3135.0,0.0,1967.0,0.0,12533.0,5595.0,327.0,0.0,2015.0,1668.0,3349.0,590.0,525.0
Louisiana,3318.0,101.0,279.0,2993.0,7318.0,1178.0,164.0,15.0,92.0,5404.0,4077.0,302.0,60.0,2942.0,1120.0,457.0,1115.0,2009.0,,47.0,1149.0,837.0,1776.0,592.0,11095.0,738.0,57.0,112.0,731.0,51.0,1715.0,524.0,4417.0,2292.0,205.0,1492.0,2282.0,112.0,1831.0,161.0,1505.0,0.0,2957.0,19863.0,180.0,0.0,1732.0,1486.0,90.0,322.0,26.0
Maine,0.0,32.0,256.0,0.0,1286.0,585.0,1616.0,0.0,120.0,2602.0,108.0,346.0,89.0,297.0,172.0,212.0,356.0,292.0,617.0,,216.0,4433.0,168.0,25.0,0.0,0.0,16.0,225.0,29.0,4443.0,1255.0,0.0,1947.0,766.0,0.0,478.0,42.0,471.0,987.0,890.0,418.0,22.0,220.0,1817.0,159.0,769.0,480.0,429.0,35.0,189.0,208.0
Maryland,1526.0,361.0,2649.0,54.0,10859.0,3002.0,2006.0,6454.0,22051.0,10321.0,5056.0,3228.0,0.0,2248.0,2016.0,679.0,881.0,391.0,323.0,109.0,,3259.0,1915.0,638.0,767.0,1905.0,148.0,850.0,988.0,440.0,7283.0,344.0,10850.0,5562.0,184.0,3477.0,533.0,299.0,14928.0,799.0,1764.0,96.0,1634.0,5611.0,318.0,174.0,24293.0,1561.0,2605.0,1183.0,272.0
