Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,,1026.0,1077.0,1108.0,4918.0,698.0,439.0,0.0,10.0,11518.0,17867.0,718.0,222.0,3126.0,1303.0,699.0,566.0,2498.0,1429.0,52.0,960.0,972.0,2801.0,487.0,7706.0,1501.0,537.0,173.0,569.0,0.0,743.0,1838.0,2735.0,5663.0,148.0,3678.0,669.0,228.0,1488.0,121.0,1795.0,318.0,8806.0,4413.0,1881.0,19.0,3303.0,589.0,109.0,296.0,282.0
Alaska,572.0,,733.0,403.0,2874.0,2359.0,22.0,0.0,0.0,781.0,1808.0,257.0,555.0,2012.0,775.0,31.0,984.0,206.0,167.0,44.0,528.0,95.0,563.0,111.0,140.0,876.0,195.0,0.0,469.0,16.0,233.0,620.0,694.0,2744.0,95.0,734.0,318.0,1264.0,1074.0,0.0,354.0,54.0,570.0,2477.0,1363.0,6.0,727.0,2984.0,257.0,216.0,0.0
Arizona,2140.0,4418.0,,310.0,47959.0,8325.0,1029.0,534.0,230.0,6828.0,2647.0,2776.0,3563.0,7264.0,3688.0,2680.0,1818.0,885.0,1478.0,881.0,1812.0,1331.0,8099.0,5618.0,500.0,2768.0,2087.0,2749.0,9442.0,462.0,3817.0,6526.0,6846.0,2583.0,906.0,3692.0,1701.0,9331.0,5726.0,464.0,2045.0,1508.0,3292.0,17742.0,9093.0,306.0,3771.0,14756.0,188.0,5694.0,1838.0
Arkansas,0.0,1193.0,661.0,,4925.0,1557.0,870.0,0.0,330.0,1751.0,2870.0,118.0,251.0,3117.0,999.0,949.0,1650.0,1915.0,4467.0,0.0,1281.0,0.0,429.0,289.0,1422.0,5273.0,41.0,137.0,348.0,361.0,437.0,209.0,1034.0,542.0,0.0,1836.0,8892.0,786.0,244.0,30.0,339.0,94.0,4285.0,12937.0,237.0,0.0,514.0,520.0,150.0,331.0,0.0
California,2958.0,8457.0,36567.0,3687.0,,16151.0,5145.0,300.0,3823.0,25950.0,11773.0,13610.0,6192.0,19961.0,8799.0,3563.0,4680.0,3895.0,3764.0,1104.0,9781.0,12947.0,9172.0,7376.0,2450.0,7146.0,3147.0,1262.0,29897.0,1198.0,10498.0,6290.0,30704.0,10858.0,710.0,6742.0,3717.0,20128.0,11426.0,1658.0,7283.0,981.0,7020.0,32290.0,12631.0,1029.0,12810.0,37246.0,967.0,4704.0,1030.0
Colorado,2926.0,1606.0,8798.0,1235.0,23714.0,,861.0,551.0,78.0,9448.0,6671.0,1363.0,2542.0,7528.0,2197.0,2868.0,6545.0,2287.0,2374.0,881.0,2920.0,2194.0,2718.0,3754.0,1168.0,6317.0,2636.0,3457.0,2498.0,536.0,1426.0,5968.0,7848.0,4858.0,974.0,4566.0,5138.0,2793.0,3773.0,522.0,1312.0,1651.0,2295.0,23490.0,6240.0,689.0,6980.0,6173.0,246.0,2623.0,4307.0
Connecticut,337.0,1688.0,1791.0,0.0,4206.0,1066.0,,1332.0,367.0,5768.0,2303.0,398.0,0.0,2040.0,305.0,0.0,210.0,70.0,24.0,366.0,1228.0,7645.0,1193.0,775.0,57.0,339.0,60.0,0.0,122.0,2547.0,5504.0,197.0,23051.0,1806.0,0.0,1156.0,65.0,271.0,6571.0,3607.0,1609.0,0.0,1139.0,1997.0,433.0,621.0,2665.0,672.0,183.0,435.0,132.0
Delaware,0.0,272.0,0.0,0.0,810.0,74.0,602.0,,292.0,1034.0,926.0,0.0,0.0,156.0,0.0,0.0,0.0,180.0,213.0,53.0,7932.0,94.0,171.0,204.0,404.0,477.0,0.0,131.0,0.0,0.0,4520.0,258.0,3527.0,1374.0,0.0,453.0,91.0,0.0,10778.0,0.0,532.0,0.0,163.0,240.0,0.0,0.0,776.0,0.0,53.0,0.0,0.0
District of Columbia ,316.0,579.0,79.0,0.0,2427.0,337.0,1597.0,336.0,,1307.0,1497.0,339.0,0.0,753.0,215.0,27.0,0.0,46.0,858.0,0.0,9237.0,1557.0,622.0,0.0,0.0,278.0,44.0,22.0,0.0,108.0,2173.0,411.0,4770.0,1253.0,0.0,315.0,155.0,194.0,2177.0,1150.0,506.0,203.0,560.0,1625.0,126.0,0.0,7814.0,159.0,391.0,5.0,3.0
Florida,10281.0,10876.0,7553.0,1577.0,26690.0,7608.0,8709.0,1969.0,1762.0,,35386.0,1009.0,1541.0,19973.0,14148.0,4597.0,4171.0,7592.0,6856.0,2995.0,12022.0,19621.0,19860.0,5576.0,6919.0,10754.0,576.0,2228.0,3508.0,4987.0,30914.0,2164.0,55419.0,29097.0,50.0,22597.0,4386.0,1816.0,28771.0,3201.0,11074.0,533.0,13232.0,24226.0,2129.0,1434.0,18132.0,6975.0,4250.0,7321.0,341.0
