Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,580353,608,574,3168,3025,1922,321,563,191,15641,17776,753,162,3410,1705,375,397,1712,4887,24,1653,361,2878,58,10093,1768,0,409,709,461,951,540,3222,1512,80,2099,2347,81,753,161,0,2426,0,9037,7532,200,163,2572,1324,432,303,436
Alaska,152,84150,883,54,3898,1791,0,0,0,940,816,284,735,578,235,96,700,119,62,37,203,148,486,637,1517,243,121,148,485,444,109,395,462,579,133,35,327,1461,216,261,0,653,373,167,1835,1241,0,618,5711,0,765,222
Arizona,1427,1836,917186,1845,94296,11512,1809,240,1182,7184,630,1216,2940,11523,3724,1551,1917,949,1577,401,3119,2213,8529,4569,1323,2364,1689,2716,10080,809,4790,11561,6756,2935,1314,5640,2264,5572,5993,0,594,1474,841,4889,17452,7086,315,4196,10335,527,7798,1458
Arkansas,1894,660,1266,390364,6167,1999,66,0,0,5223,1082,522,171,3618,1417,394,1269,639,6515,16,43,1421,973,496,4238,9701,73,590,431,0,483,1108,957,838,136,794,8670,788,695,33,0,1770,337,5090,19937,293,0,1355,1062,59,1542,41
California,4375,5274,28156,2481,4904586,14321,7248,807,3472,25252,9788,10706,5123,15848,5611,4766,4922,2829,7383,1056,6634,11032,10073,6502,2660,8504,2605,3463,28299,1109,11816,6141,26079,16462,1449,7969,3153,17194,9637,494,1714,2311,1378,3790,36030,11421,656,15780,29727,329,3958,1425
Colorado,1495,2392,7018,1218,25350,706496,565,123,555,8463,3072,494,1383,3889,2503,1610,4531,1451,1681,655,1969,2089,1163,3183,1304,3409,2695,5204,3731,1508,757,6547,6458,4607,1074,2870,2481,2478,4581,58,368,1023,1978,2384,14916,5138,127,3260,3650,539,3498,5690
Connecticut,520,310,49,0,3979,887,299172,186,1502,5265,752,363,0,1841,395,75,655,326,94,541,2233,7492,1332,52,55,341,143,109,387,1654,3485,0,26319,1735,0,1463,0,200,3278,791,3646,477,0,366,1612,42,2016,1656,634,140,50,0
Delaware,546,337,216,344,933,211,13,90435,0,1984,600,0,222,688,21,0,82,157,23,0,7714,320,622,89,0,105,0,44,0,0,2723,0,4544,380,0,450,163,198,8637,527,487,0,0,513,184,140,0,1056,0,254,0,0
District of Columbia ,0,0,490,0,2348,269,261,357,50118,1103,319,56,0,1519,192,0,0,32,271,174,10087,2579,122,363,0,68,0,186,0,66,954,212,2801,2156,0,216,127,176,898,179,55,397,0,367,730,796,27,5654,443,389,49,0
Florida,10559,2932,5962,3300,29152,8002,12609,1441,1920,2415250,42557,2055,608,18400,17746,3725,1252,7941,9324,5537,19832,24999,24999,11224,5514,7286,1232,1263,2840,7186,34417,1404,98535,29292,439,39164,3604,997,28311,11865,6904,10906,468,12140,25297,1605,1341,26671,5337,3771,9295,873
Georgia,22111,2570,3395,1178,20673,3488,3680,650,420,54126,1227339,861,698,5590,6990,683,2175,5952,9398,255,3909,5164,6548,1659,5589,2268,256,1188,2669,505,5908,469,31412,15529,456,7362,2321,1709,6024,595,671,12609,79,16688,14605,1343,506,9697,7117,881,3597,0
Hawaii,1464,125,1409,207,15261,1968,214,0,56,1260,411,116724,1083,588,51,470,320,603,1038,63,941,240,1051,479,748,31,33,569,1305,75,1697,116,1748,655,51,306,0,1392,351,199,85,472,44,785,3644,1188,0,2111,2074,0,168,113
