Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Idaho,185,1650,2259,0,15663,2425,251,0,29,1393,179,455,205442,842,69,421,54,50,65,0,1492,343,703,366,81,1068,2168,481,3355,0,331,584,346,196,206,341,204,6643,652,50,332,229,0,415,2034,7210,0,328,10696,0,366,1177
Illinois,1551,2879,5050,2549,18821,4401,966,357,293,15093,4102,995,436,1519844,18035,12186,2420,2712,2441,243,3182,4042,10826,6768,5257,15022,321,1595,2753,558,1566,84,5490,2885,531,5894,1608,404,4988,1177,2028,2677,235,3964,11364,1022,274,3446,2007,1405,11072,78
Indiana,664,240,2393,226,7181,1219,511,64,388,9076,2415,635,43,26428,793221,1246,916,12758,738,259,1101,347,10929,710,1376,4283,40,102,877,48,1449,871,1579,1581,152,9993,399,581,3814,457,123,1294,392,3381,6457,395,113,3954,1040,528,3350,139
Iowa,343,201,2010,812,4962,2337,167,0,0,3150,1746,18,64,13084,835,351987,2489,475,483,85,268,120,1004,5086,445,3945,281,7931,2088,1195,124,21,1489,2052,900,1174,393,627,635,86,61,479,3708,701,4659,691,214,322,1480,196,4081,879
Kansas,1048,0,2101,1404,6823,4050,736,81,0,2879,1571,85,40,1488,763,1094,382897,725,1358,0,353,33,1343,1100,553,20085,184,1193,948,211,419,813,868,2036,300,1673,6720,361,746,0,18,1360,196,1743,6452,38,0,895,754,222,459,1009
Kentucky,761,261,1106,1616,3909,919,400,99,236,9787,3947,796,0,3529,13212,700,135,519666,2072,0,598,291,1967,986,1698,2291,228,43,293,52,1295,552,1019,2855,72,15132,391,100,1009,0,0,1547,0,9452,6285,0,0,2626,1763,3758,681,0
Louisiana,2979,1500,735,2882,6029,787,231,0,175,5246,4071,510,98,949,413,330,1815,790,612837,267,1037,798,1408,57,7881,1322,0,62,818,0,487,48,1580,3157,0,1669,1600,0,499,0,0,997,91,1880,15756,50,155,1747,1178,142,272,155
Maine,0,284,365,254,3072,869,2161,0,358,3541,1298,94,35,261,176,65,0,297,91,144489,1209,6661,357,23,62,149,29,80,65,4034,871,177,2880,530,0,1151,0,234,674,0,518,172,68,343,1298,181,255,1419,149,70,102,0
Maryland,1808,445,1878,542,8288,1227,1393,4431,21198,8603,3592,1424,512,3890,1193,332,400,1244,1148,1597,599001,3705,2404,1876,1119,1365,0,709,989,473,6125,1661,11334,4812,86,4063,329,415,10314,2157,275,1925,0,2297,7320,515,183,27107,2071,3144,1511,202
Massachusetts,244,642,649,94,7511,658,8274,127,642,7467,1459,230,36,2449,1165,0,222,454,744,7547,3360,680113,2000,811,98,461,464,55,862,11084,4143,499,14260,2511,711,1928,98,966,3071,3445,7649,673,166,158,3318,641,1748,2262,1642,0,360,54
Michigan,1317,1791,2241,733,7631,2289,1064,105,382,12757,3091,421,619,9035,9045,1306,897,1654,2345,90,1692,876,1217671,2019,1679,3047,111,354,2168,99,743,1003,4092,3864,24,12612,963,2742,2799,545,174,1769,174,2994,6312,567,327,3867,2171,975,4400,213
Minnesota,423,1329,2287,272,9128,2894,905,0,153,3033,1112,230,459,11199,1967,7175,630,199,1024,0,486,546,4034,587718,692,2190,588,1135,518,19,494,0,2671,1902,6874,1197,1310,800,1123,0,85,285,4100,1735,3476,291,0,933,1926,396,15429,515
Mississippi,4830,374,529,1875,4724,1090,0,215,142,3889,4699,318,0,2871,1325,1141,254,777,13754,315,1065,94,1661,751,373661,1773,497,69,208,563,280,68,2229,1568,85,738,1062,217,427,567,292,838,0,10285,6547,442,0,1863,193,126,1972,0
Missouri,908,350,4215,8218,11955,3279,555,0,99,5232,1945,289,185,16388,3390,4272,20539,1254,3554,277,955,408,2999,2356,1162,765280,389,3843,2103,395,224,291,1849,2448,52,3077,6787,2052,1866,0,276,1360,527,3192,9430,603,291,1246,3951,426,1933,104
Montana,299,422,1102,159,6045,2219,488,40,0,1342,315,151,1030,805,0,571,516,33,238,0,0,90,728,713,0,251,128284,242,726,147,0,544,367,138,626,90,964,2778,891,0,46,489,462,146,866,719,109,362,5054,23,846,1722
Nebraska,42,91,1190,35,3710,2710,419,54,0,2075,256,255,387,968,1181,6225,2373,993,306,155,12,552,897,869,0,1789,117,220401,490,0,279,570,900,430,206,237,1005,221,498,85,0,86,1879,543,2802,1224,0,698,923,65,664,631
Nevada,154,818,6036,334,56135,2054,631,87,752,3846,1142,1674,1478,2593,1919,210,499,606,715,155,988,481,2936,1858,163,358,1321,287,356296,220,1052,1484,4132,1563,148,4286,487,3795,2624,49,0,645,67,401,6054,6720,85,704,3659,0,1438,163
New Hampshire,27,783,394,0,1366,27,1277,0,0,1225,1010,310,0,461,233,0,362,255,182,3732,177,17908,55,42,0,312,1052,0,0,119129,1299,740,1822,308,0,869,140,407,209,0,503,1212,0,27,1552,272,4572,1526,253,0,108,176
New Jersey,367,900,2018,37,7809,1161,4694,1300,801,14423,3543,158,44,2890,558,73,91,813,1535,275,5583,4177,2743,2334,461,715,38,0,530,955,750278,518,62314,2582,139,1528,584,523,25122,4386,3253,2464,56,633,4415,538,48,3878,889,149,56,0
New Mexico,593,617,7790,1540,12620,7288,462,0,0,3945,733,791,187,623,727,196,1076,27,62,117,621,342,983,581,221,466,230,415,1905,0,570,251168,2133,1568,245,1648,1804,870,748,0,0,22,492,1075,15835,861,175,666,1987,466,285,0
New York,1486,654,3394,758,18568,3101,9239,375,1953,25513,8319,383,416,7915,2205,2314,295,1028,2338,1533,5235,15154,5680,2401,716,2158,393,317,1616,1183,24790,1082,1754183,9687,314,8392,1201,1467,17765,7311,2010,4285,0,1820,6372,2330,2117,9177,3864,128,2573,51
North Carolina,3858,854,2705,916,14989,2306,4292,0,566,29017,17003,1404,49,4651,3973,633,1129,3129,2240,531,9804,6865,2628,2090,1946,3370,93,365,320,1396,11678,718,29123,1102686,79,9490,1164,864,10842,331,1296,20858,189,5680,12646,1769,516,27610,1630,2144,1816,1139
North Dakota,0,70,709,62,1435,570,382,0,0,872,0,0,62,361,275,361,577,0,481,0,76,45,545,5751,58,272,504,89,128,0,0,207,46,52,69702,179,0,416,175,0,0,39,811,129,1207,97,0,91,855,0,605,0
Ohio,2469,212,3310,639,11049,3466,1506,1022,453,16400,5584,39,49,8410,9822,1483,1135,11898,1128,236,4371,2514,13841,890,550,2067,100,876,2932,355,1924,316,7317,5129,521,1457747,581,901,12360,1004,370,4296,67,3429,7574,2343,181,5088,2059,8291,2250,311
Oklahoma,877,360,2945,6745,8520,3287,193,0,131,6340,3580,695,1044,1612,795,1140,5277,928,2258,38,1666,478,2661,663,681,4859,423,1021,816,59,649,1758,2259,999,351,1474,520901,690,1109,208,86,1257,763,3179,26017,977,14,1751,1557,0,135,2114
Oregon,1223,2137,5775,1422,56379,4905,374,0,1064,2191,1009,979,7633,1803,1279,1100,168,732,218,639,1299,180,1285,704,364,2003,2825,694,2483,216,309,189,1794,293,417,1559,1466,558403,1388,0,56,1430,519,794,3759,2534,859,2269,23320,50,903,228
Pennsylvania,950,934,2957,735,11802,1670,3826,7211,1550,14676,3998,240,126,4920,2069,318,1213,1188,1904,1186,18763,4967,3204,750,454,2128,271,951,252,653,36878,872,37224,9718,404,9067,343,879,1164600,6488,442,2968,94,1805,5343,1510,536,11232,1250,4083,545,218
Puerto Rico,88,0,85,0,1296,358,877,558,0,7410,1284,76,298,860,113,0,0,0,40,0,170,2494,128,113,0,0,0,0,135,0,3679,189,8680,0,0,1252,0,0,2126,289264,35,253,0,0,1653,0,0,353,0,0,161,0
Rhode Island,88,87,438,0,1856,317,1247,0,60,1038,229,303,0,201,127,0,77,0,132,860,196,7302,114,0,0,107,0,0,693,659,1624,0,2426,173,0,176,0,0,224,0,88817,607,0,304,474,40,0,1224,306,89,0,98
South Carolina,2254,203,1279,199,3554,1025,1488,10,228,13403,16001,138,333,3292,1896,286,184,1981,3229,97,6723,3883,1898,206,648,2190,0,271,795,545,4763,967,9171,23849,0,5966,1287,344,4467,209,413,471690,147,3825,4963,543,2426,6522,2314,326,497,287
South Dakota,0,303,612,0,1055,1507,0,0,403,668,149,374,163,460,181,3465,249,245,0,0,411,137,502,3291,65,109,620,2018,168,0,0,69,255,125,1140,172,84,1108,221,0,0,0,94103,595,1793,165,0,61,918,202,440,964
Tennessee,8546,595,874,5197,12254,1494,690,436,135,18963,15621,447,131,6126,5930,1179,602,9462,8143,304,3095,1240,5602,488,11957,2492,64,64,1061,0,1445,298,4738,8051,0,6188,2997,1278,4859,173,293,3481,326,771554,11770,1044,258,7697,1978,1603,2681,453
Texas,7042,3656,12180,9653,74777,15769,2210,817,1517,31340,17285,3827,1430,15793,5539,4529,11366,4434,71950,1790,6807,4305,17181,4258,6721,10593,1121,2018,3933,393,6490,13154,13267,13692,698,11016,22611,5912,11514,1670,1920,4390,797,6533,3488485,6393,482,11987,10823,684,5054,1600
Utah,0,500,6222,77,17879,4881,385,0,283,3458,876,285,5086,1803,731,201,606,279,213,228,116,451,719,886,495,1040,1145,390,7429,684,812,1244,1099,1270,150,1184,210,3147,493,199,234,54,501,346,3349,382590,740,788,3773,362,764,746
Vermont,0,15,92,0,290,422,1936,0,132,1382,0,304,0,448,290,0,0,12,118,250,231,2317,222,82,0,0,121,0,0,5066,411,50,2440,309,0,107,187,25,976,0,90,266,0,0,528,0,64889,409,215,98,0,19
Virginia,2150,1911,2251,387,16065,3598,3580,439,6212,18517,9163,4374,1419,6297,1889,1378,1605,3657,2451,2397,25815,4257,3703,2396,2271,3166,149,732,1147,1165,6788,763,16055,16680,52,8248,2164,1613,10394,825,1008,6470,194,7476,11762,3737,1293,865315,4554,7597,1131,193
Washington,184,7156,12125,681,47720,6464,952,329,432,6468,3057,5061,10244,6796,993,3338,2045,1513,1795,511,1426,4260,2174,2443,940,1617,4880,1201,3716,583,2556,1500,3799,2776,366,3136,1878,25775,2073,565,69,3348,288,1622,9550,5211,149,3655,953030,398,2176,442
West Virginia,347,1164,399,56,369,187,0,263,0,3691,2500,13,65,695,261,0,106,999,250,18,4027,352,969,0,413,59,188,0,62,0,727,163,637,2679,33,9176,133,172,5523,0,373,1114,0,1051,1345,309,0,5535,0,159425,276,57
Wisconsin,2275,136,2197,992,6743,2799,522,0,116,4220,978,489,48,24755,2878,1550,725,545,1168,44,471,700,5607,15188,541,1508,231,745,2092,157,438,119,1545,1509,39,1615,850,1155,1853,58,116,0,784,523,3388,266,169,1576,2390,242,672491,536
Wyoming,268,146,1229,178,3353,4123,0,0,0,555,0,171,1153,225,91,541,299,37,256,0,144,114,207,219,58,443,1890,808,1207,0,267,404,71,51,94,142,1398,1141,91,0,0,0,1200,37,863,1530,0,445,781,49,35,61851
