Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,,424.0,1513.0,517.0,2328.0,1974.0,336.0,22.0,378.0,14171.0,22363.0,93.0,118.0,2399.0,2295.0,627.0,646.0,2157.0,2308.0,56.0,801.0,450.0,1821.0,420.0,7798.0,544.0,247.0,167.0,1989.0,245.0,1103.0,1007.0,2203.0,4245.0,878.0,1702.0,877.0,444.0,1595.0,848.0,1896.0,96.0,8018.0,8825.0,998.0,0.0,4277.0,1289.0,1070.0,1121.0,104.0
Alaska,942.0,,1387.0,203.0,3556.0,1487.0,0.0,0.0,0.0,906.0,422.0,424.0,225.0,723.0,186.0,1083.0,17.0,397.0,327.0,225.0,325.0,111.0,524.0,1077.0,172.0,143.0,156.0,282.0,633.0,0.0,485.0,64.0,757.0,345.0,103.0,448.0,373.0,1232.0,274.0,216.0,270.0,6.0,544.0,2165.0,465.0,0.0,360.0,3653.0,0.0,2500.0,6.0
Arizona,1337.0,2255.0,,1763.0,59233.0,12810.0,730.0,810.0,362.0,8522.0,5278.0,2651.0,3991.0,13095.0,3381.0,3423.0,2506.0,1708.0,2174.0,194.0,1108.0,2382.0,5651.0,7093.0,1261.0,5195.0,2436.0,1870.0,7647.0,578.0,4329.0,6455.0,5674.0,4429.0,2725.0,5095.0,4856.0,10701.0,6332.0,141.0,1214.0,1458.0,2194.0,12793.0,8594.0,96.0,3593.0,14392.0,318.0,3897.0,997.0
Arkansas,574.0,241.0,1060.0,,5334.0,2547.0,0.0,0.0,0.0,1525.0,1805.0,0.0,582.0,2252.0,1810.0,176.0,2021.0,1222.0,2867.0,0.0,1425.0,97.0,961.0,808.0,4171.0,6759.0,118.0,475.0,439.0,78.0,359.0,414.0,283.0,1749.0,88.0,39.0,7854.0,749.0,2639.0,0.0,487.0,0.0,5383.0,15767.0,657.0,0.0,1087.0,1539.0,0.0,958.0,12.0
California,3715.0,2606.0,26907.0,3471.0,,25038.0,5935.0,491.0,6818.0,24611.0,10233.0,12776.0,5626.0,27117.0,5190.0,4163.0,5202.0,3431.0,5169.0,2578.0,11303.0,16774.0,11538.0,7487.0,3299.0,6841.0,2809.0,2419.0,23768.0,1216.0,12906.0,5312.0,34278.0,13523.0,2223.0,11410.0,4890.0,20548.0,16141.0,1763.0,7134.0,1403.0,5413.0,40999.0,9925.0,895.0,21162.0,33143.0,789.0,9348.0,1395.0
Colorado,3120.0,2030.0,6765.0,1356.0,27014.0,,1800.0,764.0,863.0,12385.0,4712.0,3512.0,2984.0,10652.0,2754.0,3035.0,6653.0,2195.0,2195.0,448.0,3420.0,2785.0,2661.0,4369.0,1085.0,3774.0,675.0,4541.0,3800.0,1416.0,5166.0,4715.0,8560.0,6273.0,1286.0,5144.0,5180.0,4359.0,4840.0,963.0,2221.0,1453.0,2453.0,25212.0,3417.0,471.0,6099.0,6675.0,42.0,3506.0,5135.0
Connecticut,206.0,540.0,644.0,160.0,2807.0,370.0,,463.0,414.0,6589.0,1531.0,473.0,0.0,697.0,534.0,0.0,0.0,227.0,716.0,627.0,992.0,12004.0,376.0,160.0,0.0,1601.0,0.0,154.0,142.0,472.0,3930.0,825.0,28542.0,1910.0,187.0,1171.0,400.0,579.0,3263.0,2061.0,1019.0,0.0,166.0,3698.0,149.0,393.0,1314.0,374.0,0.0,188.0,257.0
Delaware,506.0,0.0,76.0,0.0,580.0,144.0,174.0,,316.0,1335.0,179.0,110.0,0.0,857.0,41.0,0.0,0.0,21.0,73.0,0.0,9748.0,396.0,441.0,45.0,0.0,153.0,0.0,0.0,0.0,0.0,4006.0,44.0,3564.0,327.0,0.0,80.0,295.0,104.0,11035.0,0.0,144.0,0.0,318.0,1152.0,32.0,59.0,1510.0,0.0,371.0,296.0,0.0
District of Columbia ,494.0,0.0,549.0,105.0,3763.0,1109.0,1149.0,375.0,,1182.0,1507.0,29.0,161.0,2726.0,710.0,17.0,0.0,285.0,461.0,122.0,10835.0,2669.0,808.0,436.0,157.0,466.0,0.0,0.0,128.0,88.0,2590.0,206.0,5238.0,1867.0,5.0,1026.0,0.0,37.0,1824.0,296.0,235.0,0.0,1057.0,2858.0,384.0,447.0,7509.0,206.0,0.0,115.0,0.0
Florida,9389.0,1400.0,5577.0,3028.0,30919.0,12061.0,11249.0,3831.0,605.0,,38800.0,2092.0,1359.0,28631.0,11833.0,3466.0,3376.0,9762.0,6403.0,2960.0,18907.0,18212.0,19169.0,7614.0,4236.0,8820.0,755.0,987.0,4681.0,5887.0,27892.0,2811.0,63722.0,23270.0,702.0,22946.0,6123.0,3231.0,28507.0,3259.0,10521.0,763.0,12023.0,31625.0,6063.0,2816.0,28232.0,6176.0,2187.0,7202.0,396.0
