Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,,1136.0,837.0,1450.0,5402.0,2019.0,497.0,116.0,123.0,14403.0,20220.0,1034.0,508.0,2263.0,2065.0,231.0,496.0,3718.0,2353.0,0.0,1318.0,601.0,2559.0,264.0,5473.0,2347.0,0.0,284.0,617.0,250.0,635.0,570.0,2283.0,2418.0,0.0,4577.0,1218.0,194.0,1444.0,0.0,2255.0,0.0,7770.0,6422.0,599.0,179.0,1925.0,1143.0,1162.0,234.0,307.0
Alaska,603.0,,2049.0,240.0,3419.0,2017.0,167.0,56.0,0.0,2681.0,535.0,730.0,716.0,159.0,183.0,123.0,380.0,917.0,844.0,131.0,300.0,314.0,140.0,406.0,423.0,1706.0,637.0,173.0,160.0,141.0,145.0,217.0,168.0,802.0,144.0,568.0,150.0,2034.0,567.0,78.0,910.0,157.0,355.0,4549.0,442.0,115.0,684.0,4841.0,0.0,459.0,107.0
Arizona,785.0,3140.0,,1180.0,57446.0,9663.0,458.0,500.0,185.0,9149.0,4393.0,1911.0,3825.0,11858.0,2431.0,2739.0,2355.0,2366.0,1454.0,762.0,2206.0,2039.0,9378.0,4541.0,950.0,6000.0,1399.0,1782.0,7013.0,875.0,2923.0,8522.0,7309.0,3932.0,1408.0,6908.0,2124.0,6548.0,4292.0,1650.0,1027.0,1508.0,1602.0,16411.0,5118.0,661.0,3202.0,13152.0,32.0,5948.0,2670.0
Arkansas,2145.0,66.0,782.0,,5070.0,1149.0,431.0,0.0,213.0,2611.0,2013.0,283.0,0.0,3251.0,405.0,696.0,1491.0,398.0,2844.0,0.0,64.0,49.0,801.0,846.0,2962.0,9565.0,232.0,0.0,229.0,0.0,244.0,778.0,1326.0,335.0,0.0,711.0,8530.0,254.0,816.0,0.0,543.0,0.0,4534.0,14398.0,490.0,0.0,1250.0,777.0,303.0,822.0,34.0
California,10439.0,7098.0,35200.0,1570.0,,17500.0,5994.0,1067.0,4219.0,25622.0,8669.0,12753.0,7303.0,21441.0,6680.0,3618.0,6836.0,3217.0,4884.0,761.0,6996.0,10750.0,11601.0,9449.0,2336.0,7638.0,2862.0,3143.0,29985.0,1119.0,12884.0,4744.0,34201.0,12550.0,1112.0,8267.0,6511.0,21028.0,14858.0,817.0,3925.0,2964.0,5620.0,38990.0,14273.0,1041.0,17847.0,32837.0,897.0,6451.0,1401.0
Colorado,1004.0,2696.0,12304.0,1956.0,24506.0,,832.0,254.0,1323.0,9304.0,5057.0,2943.0,1365.0,9081.0,3940.0,4707.0,4780.0,1004.0,2066.0,194.0,3091.0,2565.0,2858.0,3673.0,777.0,4900.0,2733.0,2896.0,3945.0,369.0,2212.0,7069.0,9519.0,4974.0,1059.0,4419.0,6811.0,2064.0,4244.0,0.0,1590.0,1570.0,2297.0,24431.0,2926.0,720.0,7328.0,8768.0,110.0,4068.0,5426.0
Connecticut,275.0,2294.0,269.0,0.0,3683.0,464.0,,282.0,212.0,6450.0,2232.0,662.0,0.0,2059.0,177.0,104.0,0.0,636.0,150.0,1898.0,1825.0,8381.0,28.0,858.0,66.0,844.0,0.0,0.0,541.0,1296.0,5473.0,0.0,21431.0,1368.0,0.0,1064.0,260.0,555.0,3872.0,4771.0,457.0,93.0,1325.0,1696.0,241.0,825.0,2847.0,699.0,0.0,83.0,0.0
Delaware,46.0,462.0,269.0,0.0,160.0,95.0,954.0,,358.0,752.0,1455.0,0.0,0.0,88.0,0.0,0.0,0.0,105.0,0.0,14.0,6777.0,1050.0,159.0,484.0,0.0,477.0,0.0,54.0,29.0,483.0,4366.0,58.0,3673.0,1036.0,0.0,148.0,224.0,7.0,5670.0,32.0,418.0,0.0,277.0,737.0,0.0,0.0,806.0,124.0,176.0,143.0,0.0
District of Columbia ,251.0,92.0,186.0,106.0,5206.0,476.0,1336.0,290.0,,1745.0,445.0,283.0,229.0,1768.0,525.0,96.0,133.0,375.0,689.0,167.0,13606.0,1575.0,334.0,414.0,71.0,195.0,84.0,111.0,593.0,154.0,2075.0,76.0,3562.0,1670.0,44.0,286.0,78.0,130.0,2311.0,125.0,389.0,0.0,429.0,1311.0,445.0,0.0,9920.0,1089.0,213.0,291.0,255.0
Florida,15731.0,7883.0,7902.0,1911.0,23239.0,9260.0,12944.0,1401.0,1897.0,,42020.0,2180.0,915.0,25095.0,10599.0,3728.0,2879.0,6237.0,5179.0,4293.0,15850.0,15606.0,23791.0,5399.0,5623.0,8481.0,161.0,1785.0,4024.0,4248.0,24425.0,1336.0,58753.0,25333.0,730.0,27438.0,5296.0,2797.0,28841.0,3816.0,11346.0,693.0,13711.0,25175.0,2926.0,2319.0,25342.0,4510.0,3313.0,7735.0,405.0
Georgia,18778.0,3804.0,6629.0,1793.0,13978.0,5629.0,3248.0,1542.0,582.0,45495.0,,1528.0,532.0,4550.0,2938.0,332.0,3031.0,3962.0,3608.0,752.0,5247.0,4290.0,7618.0,1288.0,4589.0,2149.0,189.0,1033.0,2218.0,216.0,4249.0,1586.0,14399.0,14421.0,495.0,5675.0,1414.0,571.0,7914.0,427.0,17776.0,452.0,14797.0,17311.0,882.0,206.0,10491.0,4161.0,1487.0,3473.0,360.0
Hawaii,510.0,1049.0,3126.0,0.0,12186.0,2286.0,507.0,0.0,900.0,3235.0,2876.0,,286.0,939.0,1769.0,475.0,321.0,181.0,526.0,450.0,1061.0,160.0,944.0,60.0,370.0,366.0,125.0,268.0,1671.0,0.0,593.0,205.0,1992.0,1323.0,0.0,504.0,575.0,1063.0,682.0,159.0,681.0,0.0,1076.0,3834.0,542.0,0.0,3137.0,4513.0,0.0,591.0,27.0
Idaho,166.0,2966.0,3506.0,110.0,10057.0,2341.0,37.0,37.0,0.0,377.0,162.0,816.0,,1747.0,251.0,343.0,732.0,31.0,125.0,38.0,239.0,41.0,415.0,467.0,141.0,710.0,3531.0,120.0,2110.0,0.0,66.0,294.0,463.0,1004.0,121.0,64.0,1011.0,4371.0,359.0,0.0,512.0,409.0,1361.0,2598.0,5725.0,529.0,572.0,11461.0,0.0,548.0,1549.0
Illinois,1566.0,3205.0,2834.0,1234.0,15669.0,4066.0,1386.0,434.0,1138.0,14350.0,4394.0,765.0,795.0,,19221.0,6471.0,2624.0,2403.0,2429.0,1040.0,2313.0,4491.0,11653.0,3934.0,2181.0,15333.0,1186.0,527.0,2284.0,24.0,2996.0,532.0,9781.0,5079.0,572.0,8414.0,2739.0,1132.0,6053.0,50.0,1857.0,117.0,4872.0,12270.0,613.0,355.0,3669.0,3065.0,177.0,15053.0,190.0
Indiana,1229.0,295.0,3894.0,873.0,6372.0,1799.0,837.0,62.0,86.0,8690.0,2592.0,843.0,146.0,38177.0,,2162.0,868.0,9486.0,937.0,62.0,2271.0,1402.0,9876.0,834.0,530.0,1754.0,246.0,216.0,1297.0,921.0,1116.0,331.0,1825.0,3332.0,214.0,11584.0,611.0,831.0,2000.0,265.0,1115.0,598.0,3844.0,5011.0,671.0,217.0,1687.0,1909.0,30.0,3283.0,615.0
Iowa,641.0,906.0,2644.0,957.0,3352.0,2461.0,520.0,380.0,79.0,1811.0,1067.0,274.0,175.0,13612.0,3293.0,,1119.0,190.0,170.0,0.0,389.0,439.0,1813.0,8933.0,563.0,3247.0,29.0,8602.0,258.0,24.0,367.0,607.0,943.0,732.0,500.0,805.0,618.0,676.0,2240.0,0.0,243.0,1989.0,112.0,5164.0,505.0,113.0,1015.0,1287.0,161.0,2871.0,298.0
Kansas,830.0,1478.0,2115.0,906.0,6381.0,3350.0,503.0,0.0,0.0,4457.0,485.0,460.0,90.0,2618.0,308.0,1280.0,,923.0,1947.0,103.0,0.0,550.0,1955.0,1599.0,280.0,22240.0,604.0,2637.0,2101.0,0.0,1730.0,609.0,1118.0,2053.0,497.0,1807.0,6031.0,511.0,606.0,0.0,83.0,201.0,954.0,11255.0,732.0,0.0,4563.0,2632.0,139.0,440.0,306.0
Kentucky,1409.0,623.0,1443.0,703.0,3709.0,2376.0,259.0,139.0,348.0,6905.0,4392.0,423.0,473.0,5478.0,12431.0,1043.0,913.0,,1251.0,155.0,1168.0,390.0,2612.0,640.0,571.0,2490.0,0.0,525.0,665.0,69.0,757.0,74.0,2414.0,3965.0,0.0,16715.0,1012.0,375.0,1952.0,0.0,335.0,482.0,11393.0,5568.0,155.0,144.0,1779.0,1547.0,2220.0,194.0,291.0
Louisiana,4808.0,890.0,967.0,2293.0,4079.0,2540.0,716.0,122.0,383.0,7182.0,6384.0,1186.0,0.0,1961.0,150.0,0.0,1013.0,1734.0,,0.0,1013.0,1484.0,1372.0,404.0,7926.0,2971.0,396.0,314.0,1001.0,291.0,543.0,301.0,2061.0,3185.0,167.0,2303.0,2385.0,646.0,585.0,123.0,911.0,365.0,2479.0,21516.0,445.0,0.0,3433.0,1518.0,369.0,648.0,251.0
Maine,0.0,0.0,612.0,0.0,2063.0,546.0,1470.0,324.0,154.0,2694.0,169.0,0.0,67.0,829.0,116.0,198.0,161.0,269.0,1014.0,,365.0,6232.0,268.0,237.0,0.0,383.0,64.0,0.0,418.0,4100.0,941.0,923.0,3505.0,781.0,30.0,304.0,242.0,0.0,2269.0,438.0,240.0,63.0,15.0,2219.0,854.0,1086.0,752.0,832.0,17.0,720.0,81.0
Maryland,770.0,657.0,2018.0,500.0,7073.0,1834.0,1784.0,4790.0,17421.0,8637.0,6667.0,2157.0,78.0,2076.0,1057.0,476.0,128.0,804.0,1343.0,332.0,,4088.0,2437.0,688.0,294.0,1117.0,39.0,206.0,521.0,644.0,7384.0,388.0,14661.0,8842.0,140.0,2948.0,335.0,392.0,13633.0,865.0,2576.0,0.0,787.0,5285.0,977.0,301.0,21822.0,1244.0,2598.0,754.0,219.0
Massachusetts,519.0,1874.0,1011.0,234.0,14490.0,3008.0,13287.0,88.0,1689.0,9570.0,2718.0,404.0,441.0,3199.0,1269.0,681.0,402.0,253.0,531.0,3944.0,3344.0,,1817.0,922.0,119.0,1058.0,297.0,0.0,384.0,11177.0,5381.0,213.0,20548.0,3035.0,50.0,1436.0,784.0,512.0,7067.0,9501.0,1094.0,123.0,1085.0,5352.0,624.0,2765.0,5948.0,1314.0,221.0,839.0,0.0
Michigan,2362.0,2119.0,6338.0,788.0,9754.0,1938.0,1124.0,112.0,411.0,11186.0,5007.0,881.0,132.0,14603.0,10692.0,1525.0,1118.0,3747.0,1212.0,261.0,1425.0,2248.0,,2002.0,797.0,2185.0,289.0,455.0,1193.0,332.0,1774.0,579.0,6226.0,3778.0,725.0,12829.0,1174.0,443.0,3731.0,359.0,2444.0,455.0,7041.0,9446.0,403.0,35.0,3049.0,3049.0,560.0,5538.0,117.0
Minnesota,392.0,860.0,2837.0,570.0,9039.0,3451.0,200.0,86.0,70.0,3762.0,2539.0,110.0,326.0,9734.0,2682.0,5975.0,409.0,308.0,523.0,136.0,378.0,1127.0,1901.0,,913.0,1842.0,965.0,881.0,942.0,188.0,749.0,557.0,1468.0,1152.0,8587.0,1955.0,505.0,1219.0,1665.0,270.0,414.0,4339.0,1214.0,3654.0,818.0,95.0,1949.0,1930.0,680.0,20375.0,42.0
