Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
South Carolina,1665.0,1244.0,2222.0,839.0,5979.0,1915.0,1590.0,697.0,435.0,11552.0,18570.0,638.0,198.0,2125.0,3802.0,643.0,1064.0,1924.0,2709.0,2077.0,3565.0,2313.0,2966.0,757.0,1407.0,1884.0,93.0,158.0,1025.0,917.0,6517.0,1052.0,10746.0,24764.0,656.0,4388.0,555.0,255.0,6497.0,538.0,,816.0,3550.0,5351.0,566.0,298.0,9377.0,1629.0,1345.0,832.0,0.0
South Dakota,0.0,855.0,435.0,227.0,1494.0,1744.0,2.0,0.0,0.0,970.0,122.0,8.0,78.0,74.0,210.0,2441.0,403.0,0.0,0.0,0.0,60.0,61.0,892.0,3568.0,34.0,474.0,248.0,2175.0,135.0,0.0,0.0,175.0,371.0,240.0,1725.0,64.0,21.0,667.0,515.0,0.0,158.0,,507.0,1715.0,388.0,5.0,340.0,1026.0,131.0,314.0,979.0
Tennessee,12116.0,1281.0,2250.0,3306.0,8396.0,2473.0,936.0,176.0,180.0,15641.0,16012.0,1058.0,787.0,7094.0,5591.0,617.0,2630.0,13202.0,2452.0,1040.0,1743.0,1525.0,4507.0,1178.0,10568.0,2694.0,308.0,432.0,735.0,271.0,783.0,751.0,6279.0,5904.0,7.0,6200.0,2495.0,1080.0,3329.0,26.0,4300.0,0.0,,8716.0,784.0,133.0,8008.0,1876.0,3248.0,1622.0,358.0
Texas,9993.0,6759.0,18908.0,13781.0,62702.0,16616.0,2769.0,181.0,1189.0,31259.0,20362.0,5040.0,2387.0,19672.0,8264.0,4934.0,12699.0,6040.0,29348.0,1293.0,4969.0,4813.0,9501.0,2803.0,6402.0,12319.0,1813.0,4794.0,8266.0,761.0,6797.0,16762.0,20274.0,22660.0,989.0,8728.0,26284.0,3827.0,10449.0,1763.0,4470.0,1264.0,10368.0,,4610.0,113.0,17734.0,11630.0,1729.0,4192.0,2472.0
Utah,126.0,2819.0,7966.0,361.0,15286.0,5350.0,142.0,0.0,0.0,2428.0,1142.0,1436.0,5129.0,1588.0,475.0,2791.0,398.0,217.0,345.0,380.0,613.0,1503.0,1670.0,385.0,284.0,1553.0,1057.0,489.0,5391.0,507.0,437.0,686.0,2129.0,842.0,175.0,1875.0,1338.0,4089.0,944.0,351.0,60.0,47.0,863.0,3605.0,,39.0,1369.0,3529.0,0.0,1445.0,2216.0
Vermont,16.0,93.0,127.0,0.0,1112.0,382.0,1626.0,0.0,116.0,966.0,56.0,6.0,0.0,230.0,68.0,30.0,0.0,1243.0,73.0,883.0,862.0,3318.0,284.0,315.0,0.0,23.0,147.0,0.0,17.0,2893.0,833.0,74.0,4780.0,328.0,0.0,214.0,11.0,26.0,935.0,341.0,124.0,39.0,193.0,493.0,81.0,,728.0,98.0,0.0,151.0,96.0
Virginia,2515.0,1906.0,2420.0,445.0,14780.0,5352.0,2725.0,2279.0,10964.0,19574.0,9535.0,3823.0,652.0,7089.0,2663.0,221.0,1144.0,3908.0,1638.0,1144.0,23925.0,3767.0,2982.0,2294.0,1344.0,1914.0,658.0,357.0,973.0,535.0,9073.0,947.0,15893.0,25575.0,852.0,5622.0,2810.0,1541.0,14190.0,1605.0,7936.0,35.0,6189.0,12944.0,2092.0,423.0,,4160.0,3839.0,1258.0,143.0
Washington,1507.0,4328.0,8362.0,1413.0,45597.0,5195.0,2901.0,100.0,773.0,9370.0,6363.0,5239.0,10604.0,4298.0,1089.0,1159.0,2544.0,1368.0,1646.0,532.0,1191.0,2911.0,3470.0,2703.0,615.0,2802.0,2919.0,682.0,5671.0,309.0,2300.0,872.0,5562.0,4088.0,217.0,3192.0,1223.0,25525.0,3397.0,97.0,2727.0,94.0,3206.0,14196.0,5298.0,223.0,3839.0,,215.0,1168.0,394.0
West Virginia,477.0,306.0,79.0,0.0,1231.0,104.0,143.0,674.0,294.0,1919.0,1108.0,166.0,181.0,220.0,328.0,68.0,39.0,2249.0,90.0,35.0,5352.0,164.0,778.0,20.0,0.0,59.0,0.0,0.0,229.0,129.0,1213.0,81.0,1721.0,4683.0,175.0,6757.0,520.0,118.0,5208.0,0.0,1098.0,36.0,1061.0,622.0,0.0,54.0,6317.0,297.0,,470.0,252.0
Wisconsin,323.0,236.0,3257.0,253.0,5347.0,1600.0,657.0,296.0,15.0,4937.0,970.0,333.0,360.0,22285.0,2480.0,4161.0,1160.0,635.0,598.0,233.0,1306.0,489.0,3917.0,18965.0,238.0,1263.0,784.0,324.0,1163.0,3.0,606.0,526.0,2033.0,2939.0,284.0,2610.0,289.0,945.0,1563.0,144.0,1053.0,329.0,1051.0,2765.0,900.0,62.0,1267.0,1208.0,0.0,,30.0
Wyoming,260.0,590.0,2014.0,244.0,2035.0,5599.0,0.0,0.0,0.0,733.0,166.0,0.0,745.0,905.0,179.0,259.0,539.0,4.0,88.0,0.0,294.0,548.0,965.0,290.0,136.0,244.0,1901.0,1216.0,355.0,0.0,121.0,604.0,231.0,459.0,338.0,819.0,964.0,893.0,230.0,0.0,122.0,1175.0,4.0,1427.0,1710.0,0.0,138.0,1323.0,0.0,282.0,
