Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,,1004.0,962.0,660.0,3077.0,1386.0,284.0,42.0,162.0,11244.0,19920.0,627.0,493.0,2722.0,1347.0,345.0,865.0,2495.0,3104.0,67.0,1513.0,334.0,2298.0,752.0,4952.0,1555.0,101.0,151.0,1009.0,161.0,1702.0,459.0,2709.0,5133.0,228.0,1411.0,194.0,200.0,1837.0,0.0,2811.0,518.0,10539.0,7468.0,579.0,0.0,3170.0,1034.0,128.0,760.0,88.0
Alaska,1097.0,,1520.0,196.0,3494.0,556.0,0.0,0.0,356.0,1991.0,928.0,1376.0,538.0,58.0,260.0,13.0,221.0,161.0,120.0,66.0,508.0,297.0,563.0,192.0,56.0,819.0,371.0,1195.0,803.0,118.0,116.0,263.0,736.0,920.0,264.0,1316.0,335.0,3174.0,255.0,0.0,384.0,99.0,451.0,1488.0,330.0,79.0,1265.0,3725.0,0.0,206.0,136.0
Arizona,1331.0,3717.0,,1214.0,44889.0,13790.0,417.0,246.0,36.0,5553.0,2263.0,2491.0,2934.0,10744.0,2930.0,2702.0,2498.0,1328.0,724.0,616.0,3007.0,1961.0,9598.0,8570.0,293.0,2595.0,1118.0,2293.0,6712.0,510.0,2564.0,6946.0,7402.0,2721.0,877.0,7906.0,1626.0,8587.0,4280.0,614.0,1070.0,1472.0,5075.0,14788.0,5916.0,207.0,2763.0,13247.0,765.0,3765.0,2786.0
Arkansas,374.0,855.0,1677.0,,3525.0,603.0,185.0,0.0,205.0,2682.0,1525.0,0.0,0.0,3576.0,1172.0,409.0,1033.0,1310.0,3953.0,17.0,169.0,254.0,1283.0,295.0,3689.0,9105.0,258.0,166.0,121.0,0.0,157.0,547.0,2262.0,3057.0,0.0,1135.0,9938.0,193.0,516.0,59.0,52.0,673.0,4195.0,11767.0,269.0,0.0,1159.0,251.0,84.0,695.0,1498.0
California,2509.0,6995.0,38916.0,3472.0,,15150.0,6764.0,474.0,3199.0,21004.0,10790.0,11906.0,5331.0,21251.0,5891.0,2284.0,2790.0,3763.0,5180.0,1256.0,7902.0,14356.0,8921.0,8539.0,2556.0,6729.0,3060.0,3302.0,27968.0,1327.0,12057.0,5921.0,31261.0,11195.0,1827.0,10653.0,6671.0,22724.0,10466.0,1648.0,4110.0,826.0,5802.0,43005.0,12172.0,544.0,15625.0,34569.0,1413.0,5681.0,1886.0
Colorado,3108.0,3457.0,10589.0,1043.0,22152.0,,1317.0,70.0,488.0,8615.0,5834.0,2536.0,2660.0,6374.0,4336.0,2776.0,5283.0,2500.0,5048.0,20.0,2844.0,5939.0,3343.0,2992.0,835.0,3771.0,2021.0,4472.0,3789.0,679.0,2464.0,6520.0,7250.0,4378.0,1918.0,4533.0,4582.0,2419.0,3950.0,137.0,2383.0,756.0,2535.0,17355.0,6398.0,503.0,3796.0,4853.0,837.0,3000.0,5602.0
Connecticut,46.0,439.0,3167.0,200.0,3161.0,367.0,,22.0,288.0,6578.0,1702.0,408.0,97.0,912.0,53.0,0.0,0.0,124.0,909.0,1224.0,1752.0,8743.0,753.0,605.0,276.0,358.0,50.0,45.0,172.0,1009.0,5665.0,444.0,23310.0,3379.0,0.0,287.0,415.0,35.0,2214.0,1558.0,940.0,0.0,260.0,3279.0,45.0,709.0,1729.0,1593.0,174.0,711.0,104.0
Delaware,119.0,692.0,188.0,0.0,2221.0,0.0,1489.0,,11.0,715.0,179.0,0.0,32.0,567.0,62.0,30.0,113.0,0.0,178.0,0.0,5649.0,157.0,227.0,351.0,58.0,80.0,0.0,91.0,572.0,99.0,5846.0,85.0,3566.0,1349.0,0.0,191.0,0.0,0.0,6828.0,135.0,298.0,0.0,344.0,133.0,166.0,0.0,1746.0,29.0,161.0,0.0,0.0
District of Columbia ,79.0,1247.0,902.0,35.0,4999.0,677.0,618.0,78.0,,1705.0,1079.0,38.0,46.0,795.0,469.0,133.0,164.0,112.0,283.0,194.0,14120.0,1524.0,944.0,393.0,44.0,337.0,0.0,172.0,42.0,197.0,1451.0,116.0,3085.0,985.0,0.0,651.0,0.0,157.0,1494.0,635.0,150.0,0.0,577.0,1473.0,116.0,267.0,9537.0,481.0,293.0,721.0,215.0
Florida,18599.0,10704.0,6473.0,3321.0,20386.0,8766.0,8975.0,1099.0,780.0,,42754.0,3177.0,1268.0,22565.0,13803.0,3864.0,5661.0,6912.0,5550.0,7348.0,10442.0,15159.0,23400.0,5460.0,5490.0,10666.0,1758.0,945.0,1241.0,2362.0,27606.0,2853.0,53009.0,23133.0,239.0,22927.0,3142.0,2919.0,25659.0,3050.0,11366.0,1070.0,16275.0,28564.0,2499.0,2747.0,25697.0,4943.0,3533.0,6216.0,773.0
Georgia,13864.0,2654.0,6657.0,1041.0,14174.0,4710.0,1829.0,226.0,1352.0,42870.0,,1409.0,936.0,7143.0,5972.0,1687.0,1497.0,6172.0,4100.0,222.0,3619.0,4153.0,9949.0,2237.0,3280.0,3377.0,251.0,1283.0,3783.0,15.0,4920.0,915.0,13957.0,16009.0,207.0,7501.0,3299.0,453.0,9076.0,440.0,18611.0,257.0,17606.0,16198.0,20.0,84.0,10702.0,1965.0,1237.0,3441.0,106.0
Hawaii,608.0,1417.0,1865.0,24.0,9756.0,1216.0,191.0,278.0,230.0,2780.0,1448.0,,404.0,318.0,292.0,84.0,1135.0,485.0,207.0,91.0,2491.0,1266.0,321.0,192.0,44.0,944.0,131.0,75.0,760.0,85.0,410.0,284.0,2382.0,2241.0,0.0,884.0,1095.0,1763.0,1087.0,106.0,644.0,459.0,1314.0,3300.0,2183.0,0.0,1393.0,5920.0,197.0,295.0,50.0
Idaho,575.0,1198.0,2424.0,291.0,10280.0,1186.0,44.0,120.0,116.0,2014.0,583.0,206.0,,532.0,283.0,90.0,63.0,83.0,54.0,0.0,107.0,338.0,683.0,637.0,87.0,214.0,3800.0,35.0,2535.0,0.0,214.0,675.0,938.0,817.0,0.0,1018.0,93.0,4963.0,169.0,0.0,205.0,118.0,1957.0,1352.0,6617.0,0.0,269.0,10398.0,0.0,225.0,677.0
Illinois,883.0,2250.0,7139.0,1587.0,14940.0,3036.0,955.0,234.0,1066.0,12687.0,8745.0,869.0,1384.0,,16907.0,8529.0,2009.0,2923.0,1229.0,526.0,1865.0,3296.0,12583.0,6537.0,2744.0,13264.0,228.0,1302.0,1478.0,283.0,2366.0,1359.0,7561.0,3761.0,196.0,6872.0,1491.0,954.0,4588.0,462.0,1583.0,394.0,4648.0,16780.0,1154.0,156.0,4311.0,2704.0,1221.0,14414.0,302.0
Indiana,1625.0,479.0,2763.0,564.0,6033.0,1225.0,823.0,639.0,1045.0,11472.0,2258.0,856.0,186.0,28436.0,,1678.0,1624.0,11177.0,736.0,0.0,1050.0,837.0,11017.0,1543.0,1948.0,4526.0,134.0,591.0,1011.0,0.0,1537.0,219.0,2316.0,2665.0,113.0,11235.0,1198.0,387.0,2419.0,0.0,1414.0,111.0,3547.0,4490.0,105.0,0.0,1932.0,258.0,507.0,1727.0,1681.0
Iowa,503.0,951.0,1590.0,451.0,3268.0,3252.0,112.0,0.0,151.0,4335.0,596.0,521.0,290.0,11969.0,1716.0,,918.0,819.0,763.0,78.0,419.0,585.0,946.0,7505.0,751.0,4168.0,452.0,7698.0,681.0,56.0,1018.0,114.0,1230.0,734.0,833.0,1127.0,1465.0,348.0,451.0,0.0,943.0,1158.0,1148.0,3553.0,886.0,0.0,268.0,919.0,22.0,3607.0,392.0
Kansas,853.0,333.0,3094.0,2158.0,5411.0,3746.0,210.0,0.0,456.0,3118.0,1896.0,149.0,456.0,1702.0,1679.0,1527.0,,617.0,438.0,211.0,282.0,187.0,1125.0,682.0,452.0,21022.0,300.0,4126.0,851.0,0.0,267.0,1029.0,571.0,813.0,261.0,1310.0,8408.0,848.0,918.0,18.0,556.0,154.0,1542.0,8468.0,97.0,70.0,1705.0,3265.0,139.0,486.0,278.0
Kentucky,4137.0,304.0,1103.0,518.0,3415.0,712.0,246.0,706.0,254.0,9232.0,4173.0,647.0,50.0,4445.0,12203.0,238.0,602.0,,666.0,46.0,1120.0,419.0,7302.0,605.0,646.0,2381.0,0.0,723.0,301.0,84.0,496.0,554.0,5239.0,3643.0,122.0,17041.0,577.0,298.0,2226.0,0.0,1347.0,0.0,10064.0,3345.0,464.0,45.0,3319.0,1988.0,3346.0,1395.0,0.0
Louisiana,2329.0,403.0,2021.0,3645.0,5139.0,1433.0,164.0,0.0,596.0,6534.0,4478.0,378.0,265.0,1229.0,1359.0,544.0,420.0,1649.0,,251.0,642.0,549.0,1080.0,330.0,6791.0,1591.0,428.0,745.0,931.0,11.0,975.0,150.0,2786.0,2284.0,64.0,1115.0,2159.0,195.0,1239.0,737.0,1914.0,0.0,2348.0,24488.0,277.0,45.0,1857.0,1581.0,238.0,682.0,146.0
Maine,129.0,38.0,230.0,0.0,1610.0,314.0,1468.0,234.0,32.0,2926.0,511.0,0.0,143.0,195.0,0.0,7.0,277.0,482.0,15.0,,325.0,3887.0,116.0,430.0,79.0,69.0,0.0,82.0,35.0,3655.0,405.0,272.0,2519.0,1112.0,0.0,628.0,79.0,215.0,976.0,1024.0,173.0,0.0,985.0,496.0,200.0,349.0,573.0,118.0,51.0,0.0,59.0
Maryland,1261.0,1947.0,760.0,136.0,8614.0,1071.0,881.0,4100.0,21213.0,9610.0,4610.0,610.0,429.0,3621.0,1210.0,569.0,1726.0,715.0,606.0,332.0,,3977.0,2167.0,1422.0,581.0,256.0,0.0,132.0,330.0,1124.0,6260.0,638.0,11736.0,7507.0,116.0,2522.0,463.0,378.0,15485.0,82.0,2297.0,0.0,1800.0,5612.0,1061.0,589.0,20579.0,1431.0,1957.0,460.0,0.0
Massachusetts,636.0,890.0,1972.0,394.0,12770.0,980.0,10525.0,506.0,379.0,12890.0,2789.0,1108.0,188.0,2886.0,677.0,151.0,565.0,52.0,1556.0,3907.0,2381.0,,1337.0,966.0,155.0,453.0,49.0,182.0,787.0,13331.0,8046.0,521.0,19467.0,2514.0,81.0,1829.0,297.0,1528.0,8236.0,6863.0,2477.0,194.0,823.0,3694.0,1027.0,2534.0,4098.0,1653.0,385.0,584.0,264.0
Michigan,2341.0,1152.0,7168.0,906.0,8085.0,2363.0,798.0,114.0,274.0,13146.0,4270.0,291.0,242.0,10047.0,10976.0,993.0,805.0,3409.0,1284.0,261.0,2201.0,1720.0,,1127.0,922.0,2206.0,218.0,113.0,1354.0,446.0,1617.0,1318.0,5731.0,3912.0,265.0,11318.0,705.0,811.0,2739.0,68.0,1822.0,66.0,3259.0,8638.0,819.0,60.0,3057.0,2146.0,353.0,4768.0,1277.0
Minnesota,1299.0,523.0,3065.0,375.0,8086.0,3565.0,696.0,0.0,310.0,2372.0,2235.0,1277.0,575.0,5896.0,2026.0,7220.0,924.0,57.0,791.0,187.0,1841.0,814.0,2212.0,,202.0,1709.0,1257.0,992.0,932.0,0.0,1038.0,322.0,1849.0,1745.0,6672.0,2635.0,1212.0,781.0,1106.0,299.0,1705.0,3442.0,1738.0,4001.0,429.0,77.0,1037.0,1685.0,0.0,17618.0,213.0
Mississippi,5141.0,0.0,710.0,2680.0,4371.0,799.0,106.0,0.0,97.0,4676.0,2669.0,184.0,586.0,2703.0,1200.0,160.0,400.0,446.0,8588.0,163.0,379.0,67.0,1768.0,568.0,,2634.0,166.0,138.0,526.0,60.0,2127.0,86.0,1492.0,1709.0,98.0,896.0,562.0,465.0,613.0,185.0,596.0,79.0,11643.0,7230.0,454.0,0.0,1929.0,433.0,0.0,611.0,307.0
Missouri,1333.0,2186.0,2297.0,9434.0,10717.0,3798.0,410.0,234.0,144.0,8374.0,3451.0,2114.0,596.0,22001.0,4184.0,5956.0,20218.0,2291.0,1178.0,996.0,1246.0,810.0,2964.0,2798.0,1110.0,,511.0,1999.0,836.0,35.0,960.0,451.0,2834.0,3988.0,636.0,3557.0,5298.0,1186.0,1535.0,361.0,2856.0,527.0,3122.0,9278.0,3287.0,318.0,2609.0,2312.0,148.0,2636.0,810.0
Montana,31.0,726.0,1548.0,63.0,5428.0,2135.0,0.0,0.0,0.0,1875.0,292.0,556.0,3385.0,542.0,163.0,415.0,224.0,367.0,0.0,225.0,33.0,97.0,822.0,481.0,32.0,447.0,,108.0,968.0,115.0,156.0,259.0,482.0,1082.0,977.0,402.0,1018.0,2950.0,457.0,0.0,230.0,191.0,45.0,1393.0,260.0,87.0,156.0,4783.0,0.0,750.0,934.0
Nebraska,245.0,626.0,2406.0,363.0,3438.0,2023.0,0.0,0.0,0.0,1368.0,786.0,165.0,315.0,1193.0,290.0,6815.0,3103.0,131.0,411.0,68.0,129.0,195.0,258.0,1489.0,176.0,2223.0,108.0,,233.0,0.0,524.0,158.0,318.0,874.0,497.0,563.0,587.0,106.0,702.0,0.0,456.0,2507.0,232.0,3130.0,229.0,79.0,1076.0,1327.0,111.0,316.0,917.0
Nevada,761.0,2161.0,8748.0,353.0,49978.0,6402.0,143.0,373.0,468.0,3381.0,745.0,2053.0,1503.0,2822.0,362.0,714.0,1202.0,952.0,421.0,209.0,934.0,318.0,1235.0,1157.0,783.0,694.0,1086.0,714.0,,175.0,912.0,1138.0,3521.0,767.0,702.0,1407.0,1520.0,3101.0,1601.0,336.0,480.0,0.0,1699.0,5484.0,4605.0,121.0,1135.0,2997.0,100.0,1046.0,766.0
New Hampshire,0.0,437.0,440.0,0.0,1514.0,572.0,1345.0,0.0,101.0,2746.0,470.0,43.0,20.0,673.0,297.0,53.0,102.0,284.0,7.0,6118.0,33.0,18990.0,426.0,0.0,0.0,289.0,0.0,110.0,0.0,,591.0,223.0,2905.0,1609.0,0.0,324.0,186.0,208.0,890.0,1248.0,323.0,0.0,77.0,2150.0,557.0,2960.0,660.0,113.0,80.0,239.0,71.0
New Jersey,779.0,359.0,1328.0,57.0,4330.0,380.0,3466.0,1921.0,840.0,10649.0,3002.0,22.0,113.0,2052.0,1039.0,357.0,426.0,631.0,339.0,430.0,3474.0,4907.0,324.0,570.0,106.0,384.0,67.0,35.0,908.0,126.0,,45.0,40495.0,3236.0,55.0,1452.0,1540.0,760.0,23597.0,429.0,2372.0,581.0,1400.0,2509.0,425.0,35.0,5024.0,1847.0,297.0,680.0,23.0
New Mexico,787.0,320.0,6391.0,410.0,4536.0,4780.0,280.0,100.0,25.0,4707.0,192.0,168.0,355.0,790.0,660.0,384.0,672.0,159.0,790.0,57.0,505.0,303.0,602.0,284.0,451.0,1216.0,139.0,194.0,604.0,268.0,252.0,,1111.0,335.0,41.0,1178.0,1076.0,932.0,822.0,0.0,325.0,509.0,338.0,11955.0,1382.0,81.0,1560.0,1251.0,0.0,321.0,95.0
New York,1364.0,4002.0,4146.0,247.0,24623.0,3596.0,14595.0,477.0,3936.0,27392.0,7592.0,1598.0,607.0,8017.0,3040.0,955.0,1437.0,1753.0,1083.0,1345.0,7321.0,15073.0,5191.0,1059.0,773.0,3310.0,421.0,78.0,600.0,2760.0,42574.0,646.0,,10544.0,77.0,4625.0,1327.0,1055.0,22895.0,3222.0,5952.0,0.0,1279.0,11231.0,622.0,2764.0,7939.0,2614.0,921.0,979.0,396.0
North Carolina,4329.0,1458.0,3493.0,861.0,13883.0,4790.0,4914.0,2180.0,1801.0,26365.0,16823.0,1566.0,334.0,6378.0,4532.0,775.0,1595.0,1531.0,919.0,1259.0,9005.0,3710.0,6161.0,1523.0,2377.0,2623.0,244.0,628.0,1627.0,754.0,11468.0,1138.0,19891.0,,206.0,9337.0,1263.0,1333.0,12179.0,290.0,25532.0,351.0,9230.0,12638.0,1189.0,445.0,26759.0,5915.0,2677.0,2266.0,604.0
North Dakota,83.0,70.0,1571.0,0.0,999.0,546.0,65.0,0.0,70.0,950.0,98.0,160.0,540.0,799.0,55.0,458.0,161.0,22.0,18.0,98.0,232.0,187.0,757.0,15257.0,72.0,1490.0,1776.0,950.0,854.0,0.0,140.0,161.0,331.0,231.0,,6.0,280.0,724.0,114.0,244.0,14.0,1754.0,746.0,1414.0,43.0,758.0,403.0,1604.0,0.0,543.0,365.0
Ohio,3705.0,2207.0,4929.0,884.0,8995.0,3180.0,1355.0,1079.0,985.0,16366.0,8052.0,1198.0,412.0,9510.0,13534.0,1039.0,1166.0,13227.0,2214.0,1189.0,5026.0,2189.0,16336.0,1122.0,1017.0,3026.0,276.0,1052.0,907.0,189.0,4703.0,1361.0,8732.0,5498.0,453.0,,858.0,432.0,14147.0,435.0,2445.0,47.0,3542.0,11760.0,197.0,364.0,3193.0,2862.0,7820.0,974.0,202.0
Oklahoma,1030.0,1279.0,2974.0,5777.0,8950.0,4717.0,0.0,380.0,151.0,5011.0,2581.0,189.0,905.0,1100.0,1490.0,1088.0,7065.0,1354.0,2562.0,167.0,750.0,1233.0,1347.0,906.0,1850.0,5210.0,798.0,300.0,1101.0,549.0,1523.0,1244.0,1981.0,1961.0,308.0,1148.0,,1261.0,494.0,0.0,569.0,108.0,2471.0,25508.0,2588.0,197.0,1749.0,1574.0,368.0,1061.0,45.0
Oregon,373.0,2513.0,7954.0,165.0,31862.0,4472.0,381.0,0.0,696.0,1660.0,1032.0,2501.0,5093.0,1676.0,1380.0,834.0,556.0,202.0,227.0,446.0,457.0,760.0,570.0,1792.0,186.0,403.0,2192.0,570.0,5935.0,39.0,385.0,920.0,2379.0,1482.0,42.0,1411.0,725.0,,904.0,177.0,461.0,119.0,802.0,3347.0,4793.0,367.0,676.0,21224.0,593.0,426.0,765.0
Pennsylvania,1926.0,1658.0,3529.0,573.0,7772.0,2574.0,3311.0,4814.0,2921.0,14631.0,4337.0,245.0,359.0,3749.0,1599.0,125.0,967.0,1233.0,694.0,988.0,17529.0,5900.0,2642.0,1169.0,55.0,1171.0,135.0,214.0,1600.0,1138.0,33791.0,1001.0,32898.0,6380.0,166.0,14319.0,378.0,234.0,,771.0,3023.0,159.0,1273.0,6768.0,1276.0,1012.0,11960.0,1787.0,6762.0,1550.0,434.0
Rhode Island,20.0,0.0,93.0,0.0,2146.0,332.0,4170.0,0.0,313.0,2752.0,168.0,120.0,0.0,385.0,0.0,0.0,27.0,286.0,24.0,279.0,482.0,11253.0,230.0,131.0,0.0,210.0,0.0,188.0,25.0,611.0,1219.0,36.0,3603.0,478.0,0.0,63.0,0.0,139.0,735.0,,481.0,0.0,120.0,823.0,0.0,53.0,1008.0,287.0,0.0,135.0,21.0
