Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,,1771.0,1677.0,1642.0,3389.0,348.0,2921.0,232.0,399.0,20063.0,19346.0,1259.0,137.0,6991.0,1434.0,30.0,842.0,2686.0,2413.0,626.0,1606.0,112.0,2797.0,327.0,3945.0,1086.0,317.0,770.0,257.0,64.0,1996.0,119.0,1108.0,2697.0,284.0,2596.0,973.0,169.0,1075.0,0.0,2036.0,90.0,8710.0,7973.0,300.0,66.0,4935.0,2621.0,65.0,417.0,9.0
Alaska,93.0,,2467.0,190.0,3098.0,1583.0,138.0,11.0,140.0,1188.0,556.0,1366.0,475.0,985.0,181.0,319.0,750.0,237.0,1077.0,0.0,216.0,141.0,771.0,593.0,554.0,921.0,248.0,5.0,532.0,520.0,128.0,226.0,940.0,470.0,0.0,319.0,616.0,2161.0,378.0,0.0,186.0,301.0,388.0,2492.0,662.0,68.0,1488.0,4548.0,89.0,23.0,246.0
Arizona,833.0,5001.0,,1066.0,49635.0,10189.0,1875.0,0.0,389.0,3732.0,2206.0,2199.0,2190.0,10035.0,5855.0,4526.0,1708.0,2134.0,844.0,0.0,1918.0,743.0,9396.0,3297.0,1226.0,3872.0,2431.0,1393.0,8756.0,228.0,3379.0,4610.0,3880.0,2548.0,1159.0,4682.0,3219.0,4613.0,3436.0,72.0,1774.0,1657.0,1680.0,12688.0,10577.0,0.0,2233.0,13940.0,70.0,6473.0,2510.0
Arkansas,691.0,560.0,439.0,,4077.0,746.0,519.0,79.0,0.0,3067.0,1446.0,13.0,179.0,3684.0,1362.0,851.0,2008.0,213.0,2120.0,30.0,133.0,781.0,1881.0,232.0,1731.0,7314.0,713.0,332.0,641.0,52.0,341.0,775.0,674.0,1664.0,214.0,174.0,3761.0,632.0,567.0,0.0,235.0,0.0,6462.0,14767.0,0.0,0.0,1245.0,1477.0,24.0,687.0,252.0
California,2087.0,7358.0,35650.0,2648.0,,21245.0,3073.0,1302.0,3240.0,22094.0,13303.0,9864.0,4796.0,20834.0,4673.0,3324.0,2810.0,1201.0,3600.0,1658.0,7793.0,10244.0,12069.0,5687.0,2092.0,7677.0,2599.0,1955.0,36159.0,1222.0,8053.0,5904.0,25629.0,8708.0,1392.0,10474.0,5113.0,18165.0,8550.0,1103.0,5758.0,1004.0,8761.0,37087.0,8944.0,745.0,15753.0,36481.0,832.0,5668.0,2047.0
Colorado,2340.0,3191.0,12338.0,1615.0,23234.0,,1567.0,501.0,298.0,8075.0,3250.0,1852.0,1578.0,6027.0,2116.0,3510.0,3718.0,1361.0,908.0,1358.0,3303.0,2157.0,3225.0,3055.0,879.0,4552.0,4079.0,4582.0,4061.0,489.0,2863.0,8797.0,3998.0,4756.0,2249.0,5527.0,3824.0,5543.0,3348.0,435.0,718.0,1340.0,3193.0,22390.0,3856.0,914.0,6281.0,5524.0,412.0,3995.0,2942.0
Connecticut,101.0,180.0,1387.0,84.0,3699.0,1502.0,,62.0,607.0,4771.0,2000.0,587.0,133.0,1843.0,168.0,67.0,16.0,0.0,315.0,259.0,1267.0,8691.0,692.0,76.0,69.0,365.0,206.0,62.0,160.0,1221.0,3809.0,265.0,20015.0,1029.0,0.0,1383.0,217.0,117.0,3668.0,1488.0,997.0,0.0,123.0,1214.0,398.0,608.0,2555.0,2255.0,46.0,660.0,65.0
Delaware,81.0,329.0,541.0,0.0,699.0,169.0,66.0,,154.0,810.0,639.0,201.0,441.0,34.0,210.0,0.0,7.0,305.0,0.0,0.0,4238.0,806.0,43.0,201.0,0.0,713.0,0.0,12.0,0.0,0.0,6297.0,0.0,3141.0,388.0,0.0,664.0,27.0,0.0,8571.0,131.0,153.0,0.0,221.0,883.0,475.0,0.0,1064.0,482.0,198.0,55.0,463.0
District of Columbia ,13.0,135.0,43.0,81.0,3797.0,452.0,981.0,128.0,,1254.0,937.0,372.0,68.0,1397.0,128.0,241.0,6.0,297.0,0.0,0.0,14129.0,2048.0,1108.0,409.0,83.0,112.0,38.0,79.0,238.0,145.0,1035.0,0.0,2313.0,1716.0,285.0,306.0,0.0,51.0,1589.0,50.0,357.0,104.0,421.0,1083.0,75.0,445.0,7975.0,476.0,120.0,946.0,0.0
Florida,12635.0,7405.0,8451.0,3025.0,22420.0,9383.0,11704.0,1264.0,891.0,,38658.0,3639.0,312.0,19152.0,11472.0,1846.0,2661.0,5441.0,6094.0,4689.0,15410.0,13701.0,19640.0,4663.0,5175.0,7114.0,559.0,3857.0,3527.0,4324.0,25206.0,1376.0,59288.0,23983.0,514.0,18191.0,2600.0,3315.0,20821.0,5002.0,11953.0,716.0,10451.0,25532.0,2343.0,2019.0,16614.0,6339.0,4964.0,7412.0,846.0
Georgia,18799.0,1079.0,4292.0,2112.0,14949.0,2325.0,709.0,619.0,364.0,42666.0,,1006.0,126.0,6080.0,2442.0,950.0,4513.0,3686.0,6541.0,408.0,3708.0,4436.0,6992.0,1808.0,5380.0,2514.0,246.0,4144.0,774.0,132.0,8371.0,791.0,14454.0,19138.0,201.0,6863.0,1632.0,727.0,5791.0,337.0,16914.0,536.0,16898.0,15760.0,793.0,361.0,9438.0,3701.0,1340.0,2727.0,504.0
Hawaii,1268.0,844.0,2900.0,242.0,10173.0,950.0,731.0,784.0,222.0,3160.0,2519.0,,112.0,1884.0,402.0,478.0,125.0,18.0,179.0,106.0,341.0,92.0,1303.0,933.0,371.0,308.0,85.0,91.0,1548.0,107.0,564.0,354.0,4246.0,2307.0,32.0,970.0,685.0,2030.0,870.0,58.0,1681.0,0.0,636.0,3007.0,1040.0,0.0,2523.0,3790.0,312.0,147.0,14.0
Idaho,263.0,4510.0,3543.0,224.0,9021.0,1813.0,0.0,0.0,0.0,1733.0,275.0,254.0,,390.0,296.0,318.0,479.0,120.0,51.0,0.0,0.0,396.0,615.0,566.0,62.0,384.0,1602.0,439.0,3581.0,129.0,84.0,141.0,419.0,263.0,1201.0,260.0,288.0,7170.0,343.0,0.0,55.0,842.0,296.0,1303.0,6059.0,0.0,905.0,8991.0,0.0,165.0,487.0
Illinois,2823.0,4119.0,7657.0,3185.0,13930.0,3271.0,1819.0,277.0,1440.0,17548.0,6042.0,1269.0,393.0,,23491.0,8420.0,2533.0,5569.0,1315.0,693.0,2565.0,3507.0,10274.0,4496.0,1521.0,13889.0,304.0,827.0,2454.0,590.0,3009.0,1573.0,6412.0,4057.0,105.0,8384.0,1002.0,792.0,3012.0,278.0,1582.0,1318.0,3223.0,11011.0,951.0,49.0,5233.0,3075.0,352.0,14507.0,58.0
Indiana,1562.0,371.0,3975.0,2016.0,7649.0,1930.0,1227.0,79.0,0.0,8595.0,2543.0,1057.0,1368.0,23071.0,,916.0,1321.0,10177.0,2241.0,275.0,480.0,952.0,7896.0,1168.0,469.0,1824.0,34.0,622.0,511.0,90.0,651.0,504.0,2518.0,3038.0,70.0,11109.0,844.0,505.0,3998.0,49.0,3306.0,235.0,3879.0,6326.0,123.0,530.0,1486.0,1028.0,216.0,2923.0,117.0
Iowa,207.0,967.0,1411.0,433.0,3297.0,2891.0,424.0,0.0,0.0,707.0,1938.0,299.0,161.0,13725.0,349.0,,1776.0,387.0,228.0,26.0,487.0,466.0,1687.0,5634.0,408.0,3649.0,370.0,6490.0,2009.0,0.0,185.0,421.0,2361.0,1760.0,604.0,993.0,532.0,811.0,388.0,65.0,172.0,2842.0,623.0,2334.0,1482.0,38.0,720.0,856.0,115.0,2537.0,140.0
Kansas,434.0,108.0,2028.0,998.0,4743.0,5030.0,412.0,74.0,128.0,1581.0,1146.0,287.0,264.0,2760.0,863.0,1715.0,,1167.0,519.0,481.0,3180.0,28.0,1947.0,679.0,1517.0,22033.0,270.0,1648.0,657.0,27.0,1189.0,769.0,780.0,1223.0,379.0,1616.0,5022.0,285.0,1494.0,180.0,1102.0,104.0,1066.0,6575.0,196.0,0.0,1986.0,772.0,0.0,893.0,1285.0
Kentucky,925.0,0.0,1818.0,1058.0,2130.0,221.0,176.0,0.0,201.0,7400.0,2725.0,63.0,36.0,4273.0,11071.0,536.0,253.0,,1399.0,71.0,2076.0,1019.0,3178.0,475.0,1248.0,2793.0,216.0,471.0,1358.0,52.0,1289.0,553.0,2174.0,3916.0,117.0,19617.0,1256.0,459.0,1490.0,640.0,1387.0,0.0,16852.0,4661.0,140.0,151.0,5154.0,1121.0,1174.0,581.0,57.0
Louisiana,3065.0,288.0,2010.0,2774.0,3957.0,1202.0,358.0,0.0,195.0,5193.0,4425.0,688.0,230.0,1189.0,1549.0,468.0,312.0,1520.0,,120.0,1221.0,439.0,1163.0,698.0,10255.0,1375.0,278.0,176.0,994.0,15.0,453.0,1028.0,1360.0,2134.0,277.0,2641.0,4235.0,1531.0,455.0,268.0,1573.0,37.0,2495.0,30292.0,179.0,87.0,2055.0,1075.0,110.0,339.0,357.0
Maine,634.0,37.0,325.0,38.0,829.0,290.0,2481.0,238.0,239.0,4304.0,507.0,177.0,0.0,675.0,164.0,275.0,523.0,158.0,138.0,,52.0,4439.0,702.0,296.0,0.0,325.0,10.0,0.0,150.0,4302.0,694.0,144.0,2589.0,1439.0,19.0,483.0,25.0,471.0,915.0,234.0,587.0,42.0,394.0,1637.0,182.0,612.0,570.0,88.0,43.0,321.0,21.0
Maryland,228.0,671.0,945.0,423.0,8595.0,1796.0,1608.0,6652.0,18492.0,7825.0,7113.0,1170.0,389.0,2392.0,1318.0,110.0,689.0,848.0,860.0,1526.0,,3470.0,2077.0,810.0,1109.0,1469.0,73.0,0.0,1105.0,232.0,9627.0,797.0,9222.0,6686.0,0.0,3396.0,845.0,276.0,14158.0,197.0,2882.0,0.0,1942.0,3619.0,223.0,40.0,22089.0,1525.0,2027.0,353.0,80.0
Massachusetts,1201.0,225.0,1017.0,167.0,11556.0,1388.0,9445.0,399.0,676.0,11396.0,3264.0,733.0,412.0,2991.0,640.0,138.0,969.0,180.0,977.0,4006.0,2762.0,,2629.0,862.0,356.0,1261.0,596.0,637.0,163.0,12010.0,8332.0,199.0,19431.0,3964.0,61.0,1757.0,90.0,178.0,6538.0,10182.0,1621.0,44.0,371.0,5203.0,548.0,2246.0,2984.0,1673.0,911.0,441.0,0.0
